symbol,name
JHX,James Hardie Industries plc
JIN,Jumbo Interactive Limited
JLL,Jindalee Lithium Limited
JLLOB,Jindalee Lithium Limited
JMS,Jupiter Mines Limited
JNO,Juno Minerals Limited
JNS,Janus Electric Holdings Limited
JPR,Jupiter Energy Limited
JYC,Joyce Corporation Ltd
KAL,Kalgoorlie Gold Mining Limited
KAM,K2 Asset Management Holdings Ltd
KAO,Kaoko Metals Limited
KAR,Karoon Energy Ltd
KAT,Katana Capital Limited
KAU,Kaiser Reef Limited
KBC,Keybridge Capital Limited
KCC,Kincora Copper Limited
KCN,Kingsgate Consolidated Limited
KEY,Key Petroleum Limited
KFM,Kingfisher Mining Limited
KGL,KGL Resources Limited
KGN,Kogan.com Ltd
KIT,The Trustee For Kapstream Investment Trust
KKO,Kinetiko Energy Limited
KLI,Killi Resources Limited
KLR,Kaili Resources Limited
KLS,Kelsian Group Limited
KLV,Klevo Rewards Limited
KM1,Kali Metals Limited
KMD,KMD Brands Limited
KME,Kip McGrath Education Centres Limited
KNB,Koonenberry Gold Limited
KNG,Kingsland Minerals Ltd
KNI,Kuniko Limited
KNM,KNeoMedia Limited
KNO,Knosys Limited
KOA,The Koala Company Limited
KOB,Koba Resources Limited
KOV,Korvest Ltd
KP2,Kore Potash plc
KPG,Kelly Partners Group Holdings Limited
KPO,Kalina Power Limited
KRM,Kingsrose Mining Limited
KRR,King River Resources Limited
KSC,K&S Corporation Limited
KSL,Kina Securities Limited
KSN,Kingston Resources Limited
KTA,Krakatoa Resources Limited
KTK,KTEK Aerosystems Ltd
KYN,Elanor Investors Group
KYP,Kinatico Ltd
KZR,Kalamazoo Resources Limited
L1G,L1 Group Limited
L1M,Lightning Minerals Ltd
LAC,Lac Gold Limited
LAM,Laramide Resources Ltd.
LAT,Latitude 66 Limited
LAU,Lindsay Australia Limited
LBL,LaserBond Limited
LCE,London City Equities Limited
LCL,LCL Resources Limited
LCY,Legacy Iron Ore Limited
LDR,Lode Resources Ltd
LDX,Lumos Diagnostics Holdings Limited
LED,LDR Capital Property Fund
LEG,Legend Mining Limited
LEL,LE Minerals Limited
LEX,Lefroy Exploration Limited
LFG,Liberty Financial Group Limited
LFS,Latitude Group Holdings Limited
LFT,Li-FT Power Ltd.
LGI,LGI Limited
LGM,Legacy Minerals Holdings Limited
LGP,Little Green Pharma Ltd
LIB,Liberty Metals Ltd
LIC,Lifestyle Communities Limited
LIN,Lindian Resources Limited
LIO,Lion Energy Limited
LIS,Li-S Energy Limited
LIT,Livium Ltd
LKE,Lake Resources NL
LKEO,Lake Resources NL
LKO,Lakes Blue Energy NL
LKY,Locksley Resources Limited
LLC,Lendlease Group
LLM,Loyal Metals Limited
LM1,Leeuwin Metals Ltd
LM8,Lunnon Metals Limited
LMG,Latrobe Magnesium Limited
LML,Lincoln Minerals Limited
LMS,Litchfield Minerals Limited
LNQ,LinQ Minerals Limited
LNW,"Light & Wonder, Inc."
LOT,Lotus Resources Limited
LOV,Lovisa Holdings Limited
LPE,Locality Planning Energy Holdings Limited
LPM,Lithium Plus Minerals Ltd
LRD,Lord Resources Limited
LRK,LARK Distilling Co. Ltd.
LRM,Lion Rock Minerals Ltd
LRV,Larvotto Resources Limited
LSA,Lachlan Star Limited
LSR,Lodestar Minerals Limited
LTP,LTR Pharma Limited
LTR,Liontown Limited
LU7,Lithium Universe Limited
LUX,Lux Copper Corp. Ltd
LVE,Love Group Global Ltd
LYC,Lynas Rare Earths Limited
LYL,Lycopodium Limited
M24,Mamba Exploration Limited
M2M,Mt Malcolm Mines NL
M2R,Miramar Resources Limited
M3M,M3 Mining Limited
M4M,Macro Metals Limited
M79,Mammoth Minerals Limited
M7T,Mach7 Technologies Limited
M96,Maverick Minerals Australia Ltd
MAD,Mader Group Limited
MAF,MA Financial Group Limited
MAG,Magmatic Resources Limited
MAH,Macmahon Holdings Limited
MAM,Microequities Asset Management Group Limited
MAN,Mandrake Resources Limited
MAP,Microba Life Sciences Limited
MAQ,Macquarie Technology Group Limited
MAT,Matsa Resources Limited
MAY,Melbana Energy Limited
MBG,MB Gold Limited
MBH,Maggie Beer Holdings Limited
MBK,Metal Bank Limited
MC2,Marimaca Copper Corp.
MCA,Murray Cod Australia Limited
MCM,MC Mining Limited
MCO,Myeco Group Ltd
MCP,McPherson's Limited
MCY,Mercury NZ Limited
MDI,Middle Island Resources Limited
MDR,Media Corporation Australia Ltd
MDX,Mindax Limited
MEG,Megado Minerals Limited
MEI,Meteoric Resources Limited
MEK,Meeka Metals Limited
MEL,Metgasco Limited
MEM,Memphasys Limited
MEU,Marmota Limited
MEX,Minerals Exploration Limited
MEZ,Meridian Energy Limited
MFD,Mayfield Childcare Limited
MFF,MFF Capital Investments Limited
MFG,Magellan Financial Group Limited
MGA,MetalsGrove Mining Limited
MGH,MAAS Group Holdings Limited
MGL,Magontec Limited
MGR,Mirvac Group
MGT,Magnetite Mines Limited
MGU,Magnum Mining and Exploration Limited
MGX,MGX Resources Limited
MHC,Manhattan Gold Corporation Limited
MHJ,Michael Hill International Limited
MHK,Metal Hawk Limited
MHM,Mount Hope Mining Limited
MHMO,Mount Hope Mining Limited
MI6,Minerals 260 Limited
MIN,Mineral Resources Limited
MIO,Macarthur Minerals Limited
MIR,Mirrabooka Investments Limited
MKR,Manuka Resources Limited
ML8,Moonlight Resources Limited
MLG,MLG Oz Limited
MLS,Metals Australia Ltd
MLX,Metals X Limited
MM1,Midas Minerals Limited
MM8,Medallion Metals Limited
MMA,Maronan Metals Limited
MME,MoneyMe Limited
MMI,Metro Mining Limited
MML,McLaren Minerals Limited
MMR,MEC Resources Limited
MMS,McMillan Shakespeare Limited
MNB,Minbos Resources Limited
MNBOC,Minbos Resources Limited
MNC,Merino & Co. Limited
MND,Monadelphous Group Limited
MNE,Macallum New Energy Limited
MNV,Monvia Limited
MOH,Moho Resources Limited
MOM,Moab Minerals Limited
MOV,MOVE Logistics Group Limited
MP1,Megaport Limited
MPK,Many Peaks Minerals Limited
MPL,Medibank Private Limited
MPP,Metro Performance Glass Limited
MPR,MPR Australia Limited
MPW,Metal Powder Works Limited
MPX,Mustera Property Group Limited
MQG,Macquarie Group Limited
MQR,Marquee Resources Limited
MRD,Mount Ridley Mines Limited
MRQ,MRG Metals Ltd
MRR,MinRex Resources Limited
MRT,Maritana Minerals Limited
MRZ,Mont Royal Resources Limited
MSB,Mesoblast Limited
MSG,MCS Services Limited
MSI,Multistack International Limited
MSV,Mitchell Services Limited
MTC,MetalsTech Limited
MTH,Mithril Silver and Gold Limited
MTL,Mantle Minerals Limited
MTM,Metallium Limited
MTO,MotorCycle Holdings Limited
MTS,Metcash Limited
MVF,Monash IVF Group Limited
MVL,Marvel Gold Limited
MVP,Medical Developments International Limited
MX1,Micro-X Limited
MXI,MaxiPARTS Limited
MXO,Motio Limited
MYE,Mastermyne Group Limited
MYG,Mayfield Group Holdings Limited
MYR,Myer Holdings Limited
MYS,MyState Limited
MYX,Mayne Pharma Group Limited
N1H,N1 Holdings Limited
NAB,National Australia Bank Limited
NAE,New Age Exploration Limited
NAG,Nagambie Resources Limited
NAN,Nanosonics Limited
NC1,NICO Resources Limited
NC6,Nanollose Limited
NCK,Nick Scali Limited
NDO,Nido Education Limited
NEC,Nine Entertainment Co. Holdings Limited
NEM,Newmont Corporation
NES,Nelson Resources Limited
NEU,Neuren Pharmaceuticals Limited
NFL,Norfolk Metals Limited
NFM,New Frontier Minerals Limited
NGE,NGE Capital Limited
NGI,Navigator Global Investments Limited
NGS,Nutritional Growth Solutions Ltd.
NGX,NGX Limited
NGY,NuEnergy Gas Limited
NH3,NH3 Clean Energy Limited
NHC,New Hope Corporation Limited
NHE,Noble Helium Limited
NHF,nib holdings limited
NHU,Neu Horizon Uranium Limited
NIC,Nickel Industries Limited
NIM,Nimy Resources Limited
NME,Nex Metals Explorations Limited
NMG,New Murchison Gold Limited
NMR,Native Mineral Resources Holdings Limited
NMT,Neometals Ltd
NNL,Nordic Resources Limited
NOL,NobleOak Life Limited
NOR,Norwood Systems Limited
NOU,Noumi Limited
NOV,Novatti Group Limited
NOX,Noxopharm Limited
NPM,NewPeak Metals Limited
NRX,Noronex Limited
NRZ,NeuRizer Ltd.
NS1,Nodestream Ltd
NSB,NeuroScientific Biopharmaceuticals Limited
NSM,North Stawell Minerals Limited
NST,Northern Star Resources Limited
NTD,NTAW Holdings Limited
NTI,Neurotech International Limited
NTM,NT Minerals Limited
NTU,Northern Minerals Limited
NUC,Nuchev Limited
NUF,Nufarm Limited
NUZ,Neurizon Therapeutics Limited
NVA,Nova Minerals Corp
NVO,Novo Resources Corp.
NVQ,NoviqTech Limited
NVU,Nanoveu Limited
NVX,NOVONIX Limited
NWH,NRW Holdings Limited
NWL,Netwealth Group Limited
NWM,Norwest Minerals Limited
NWS,News Corporation
NWSLV,News Corporation
NX1,Nexalis Therapeutics Limited
NXD,NextEd Group Limited
NXG,NexGen Energy Ltd.
NXL,Nuix Limited
NXM,Nexus Minerals Limited
NXN,Nexsen Limited
NXT,NEXTDC Limited
NYM,Narryer Metals Limited
NYR,Nyrada Inc.
NZK,New Zealand King Salmon Investments Limited
NZM,NZME Limited
OAK,Oakridge International Limited
OB1,Orbminco Limited
OBL,Omni Bridgeway Limited
OBM,Ora Banda Mining Limited
OCA,Oceania Healthcare Limited
OCC,Orthocell Limited
OCL,Objective Corporation Limited
OCN,Oceana Metals Limited
OCT,Octava Minerals Limited
OD6,OD6 Metals Limited
ODA,Orcoda Limited
ODE,Odessa Minerals Limited
ODY,Odyssey Gold Limited
OEC,Orbital Corporation Limited
OEL,Otto Energy Limited
OEQ,Orion Equities Limited
OFX,OFX Group Limited
OIL,Optiscan Imaging Limited
OKJ,Oakajee Corporation Limited
OLH,Oldfields Holdings Limited
OLI,Oliver's Real Food Limited
OLL,OpenLearning Limited
OLY,Olympio Metals Limited
OM1,Omnia Metals Group Ltd
OMA,Omega Oil & Gas Limited
OMG,OMG Group Limited
OMH,OM Holdings Limited
OML,oOh!media Limited
OMX,Orange Minerals NL
ONE,Oneview Healthcare PLC
OR3,Ore Resources Limited
ORA,Orora Limited
ORD,Ordell Minerals Limited
ORE,Orezone Gold Corporation
ORG,Origin Energy Limited
ORI,Orica Limited
ORN,Orion Minerals Limited
ORP,Orpheus Uranium Limited
OSL,OncoSil Medical Limited
OSM,Osmond Resources Limited
OSX,Osteopore Limited
OVT,Ovanti Limited
OZM,OzAurum Resources Limited
OZZ,Ozz Resources Limited
P1E,Pure One Corporation Limited
PAB,Patrys Limited
PAC,Pacific Current Group Limited
PAF,Pan African Resources PLC
PAR,Paradigm Biopharmaceuticals Limited
PAT,Patriot Resources Limited
PBH,PointsBet Holdings Limited
PBL,Parabellum Resources Limited
PC2,PC Gold Limited
PCG,Pengana Capital Group Limited
PCK,PainChek Limited
PCL,Pancontinental Energy NL
PDI,Predictive Discovery Limited
PDN,Paladin Energy Ltd
PEB,Pacific Edge Limited
PEC,Perpetual Resources Limited
PEN,Peninsula Energy Limited
PER,Percheron Therapeutics Limited
PET,Phoslock Environmental Technologies Limited
PFE,Pantera Minerals Limited
PFG,Prime Financial Group Limited
PFM,Platformo Ltd
PFP,Propel Funeral Partners Limited
PFT,Pure Foods Tasmania Limited
PGC,Paragon Care Limited
PGD,Peregrine Gold Limited
PGL,Pilbara Gold Limited
PGM,Platina Resources Limited
PGO,Pacgold Limited
PGY,Pilot Energy Limited
PHO,PhosCo Ltd
PHX,PharmX Technologies Limited
PIL,Peppermint Innovation Limited
PIM,Pinnacle Minerals Limited
PIQ,Proteomics International Laboratories Ltd
PKD,PARKD Limited
PKO,Peako Limited
PKP,Peak Processing Limited
PKY,Pathkey.AI Ltd
PL3,Patagonia Lithium Limited
PL8,Plato Income Maximiser Limited
PL9,Prairie Lithium Limited
PLA,Pacific Lime and Cement Limited
PLC,PLC Resources Limited
PLCO,PLC Resources Limited
PLG,Pearl Gull Iron Limited
PLS,PLS Group Limited
PLT,Plenti Group Limited
PLY,PlaySide Studios Limited
PME,Pro Medicus Limited
PMGOLD,Gold Corporation
PMM,Pioneer Minerals Limited
PMT,PMET Resources Inc.
PMV,Premier Investments Limited
PNC,Pioneer Credit Limited
PNI,Pinnacle Investment Management Group Limited
PNN,Power Minerals Limited
PNR,Pantoro Gold Limited
PNT,Panther Metals Ltd
PNV,PolyNovo Limited
POD,Podium Minerals Limited
POL,Polymetals Resources Ltd
PPC,Peet Limited
PPE,Peoplein Limited
PPG,Pro-Pac Packaging Limited
PPK,PPK Group Limited
PPL,Pureprofile Ltd
PPM,Pepper Money Limited
PPS,Praemium Limited
PPT,Perpetual Limited
PPY,Papyrus Australia Limited
PR1,Pure Resources Limited
PR2,Piche Resources Limited
PRG,PRL Global Ltd.
PRM,Prominence Energy Ltd
PRN,Perenti Limited
PRO,Prophecy International Holdings Limited
PRU,Perseus Mining Limited
PRX,Prodigy Gold NL
PSC,Prospect Resources Limited
PSL,Paterson Resources Ltd
PTL,Prestal Holdings Limited
PTN,Patronus Resources Limited
PTR,PTR Minerals Ltd
PTX,Prescient Therapeutics Limited
PUR,Pursuit Minerals Limited
PV1,Provaris Energy Ltd
PVE,Po Valley Energy Limited
PVL,Powerhouse Ventures Limited
PVT,Pivotal Metals Limited
PWH,PWR Holdings Limited
PWN,Parkway Corporate Limited
PWR,Peter Warren Automotive Holdings Limited
PXA,PEXA Group Limited
PXR,Pacific Resources Limited
PXX,PolarX Limited
PYC,PYC Therapeutics Limited
QAL,Qualitas Limited
QAN,Qantas Airways Limited
QBE,QBE Insurance Group Limited
QEM,QEM Limited
QFE,QuickFee Limited
QGL,Quantum Graphite Limited
QML,QMines Limited
QPM,QPM Energy Limited
QUB,Qube Holdings Limited
QUE,Queste Communications Ltd
QXR,QX Resources Limited
R8R,Regener8 Resources NL
RAC,Racura Oncology Ltd
RAD,Radiopharm Theranostics Limited
RAG,Ragnar Metals Limited
RAN,Range International Limited
RAP,Raptor Metals Limited
RAS,Ragusa Minerals Limited
RAU,Resouro Strategic Metals Inc.
RB6,Rubix Resources Limited
RBR,RBR Group Limited
RBX,Resource Base Limited
RC1,Redcastle Resources Limited
RCE,Recce Pharmaceuticals Ltd
RCL,ReadCloud Limited
RCM,Rapid Critical Metals Limited
RCR,Rincon Resources Limited
RCT,Reef Casino Trust
RDM,Red Metal Limited
RDN,Raiden Resources Limited
RDS,Redstone Resources Limited
RDX,Redox Limited
RDY,ReadyTech Holdings Limited
REA,REA Group Limited
REC,Recharge Metals Limited
REE,RareX Limited
REG,Regis Healthcare Limited
REH,Reece Limited
REM,RemSense Technologies Limited
REP,RAM Essential Services Property Fund
REZ,Resources & Energy Group Limited
RFF,Rural Funds Group
RFG,Retail Food Group Limited
RFT,Rectifier Technologies Ltd
RGL,Riversgold Limited
RGN,Region Group
RGT,Argent BioPharma Limited
RHC,Ramsay Health Care Limited
RHI,Red Hill Minerals Limited
RHT,Resonance Health Limited
RHY,Rhythm Biosciences Limited
RHYOA,Rhythm Biosciences Limited
RIC,Ridley Corporation Limited
RIE,Riedel Resources Limited
RIL,Redivium Limited
RIM,Rimfire Pacific Mining Limited
RIO,Rio Tinto Group
RIV,Rivco Australia Ltd
RKB,Rokeby Resources Limited
RKN,Reckon Limited
RKT,RocketDNA Ltd.
RLC,Reedy Lagoon Corporation Limited
RLF,RLF AgTech Ltd
RLG,RooLife Group Ltd
RLGO,RooLife Group Ltd
RMC,Resimac Group Limited
RMD,ResMed Inc.
RMI,Resource Minerals International Ltd
RML,Resolution Minerals Ltd
RMLOC,Resolution Minerals Ltd
RMS,Ramelius Resources Limited
RMX,Red Mountain Mining Limited
RMXO,Red Mountain Mining Limited
RMY,RMA Global Limited
RND,Rand Mining Limited
RNT,Rent.com.au Limited
RNTO,Rent.com.au Limited
RNU,Renascor Resources Limited
RNV,ReNerve Limited
RNX,Renegade Exploration Limited
ROC,RocketBoots Limited
ROG,Red Sky Energy Limited
RON,Ronin Resources Ltd
RPL,Regal Partners Limited
RPM,RPM Automotive Group Limited
RR1,Reach Resources Limited
RRE,Right Resources Limited
RRL,Regis Resources Limited
RRR,Revolver Resources Holdings Ltd
RSG,Resolute Mining Limited
RTG,RTG Mining Inc.
RTH,RAS Technology Holdings Limited
RTR,Rumble Resources Limited
RVT,Richmond Vanadium Technology Limited
RWC,Reliance Worldwide Corporation Limited
RWD,Reward Minerals Ltd
RWL,Rubicon Water Limited
RXL,Rox Resources Limited
RYM,Ryman Healthcare Limited
RZI,Raiz Invest Limited
S2R,S2 Resources Ltd
S32,South32 Limited
S66,Star Combo Pharma Limited
SAN,Sagalio Energy Limited
SB2,Salter Brothers Emerging Companies Limited
SBM,St Barbara Limited
SBR,Sabre Resources Limited
SBZ,Schoolblazer Limited
SCG,Scentre Group
SCN,Scorpion Minerals Limited
SCP,Scalare Partners Holdings Limited
SDF,Steadfast Group Limited
SDR,SiteMinder Limited
SDV,SciDev Limited
SEA,Sea Forest Limited
SEC,Spheria Emerging Companies Limited
SEG,Sports Entertainment Group Limited
SEK,SEEK Limited
SEN,Senetas Corporation Limited
SEQ,Sequoia Financial Group Limited
SER,Strategic Energy Resources Limited
SFC,Schaffer Corporation Limited
SFG,Seafarms Group Limited
SFM,Santa Fe Minerals Limited
SFR,Sandfire Resources Limited
SFX,Sheffield Resources Limited
SGA,Sarytogan Graphite Limited
SGC,Sinclair Gold Ltd
SGH,SGH Limited
SGI,Stealth Group Holdings Ltd
SGLLV,Ricegrowers Limited
SGM,Sims Limited
SGP,Stockland
SGQ,St George Mining Limited
SGR,The Star Entertainment Group Limited
SHA,SHAPE Australia Corporation Limited
SHE,Stonehorse Energy Limited
SHG,Singular Health Group Ltd
SHJ,Shine Justice Ltd
SHL,Sonic Healthcare Limited
SHM,Shriro Holdings Limited
SHN,Sunshine Metals Limited
SHO,SportsHero Limited
SHV,Select Harvests Limited
SIG,Sigma Healthcare Limited
SIO,Simonds Group Limited
SIQ,Smartgroup Corporation Ltd
SIS,Simble Solutions Limited
SIV,SIV Capital Limited
SIX,Sprintex Limited
SK1,Skinkandy Limited
SKC,SkyCity Entertainment Group Limited
SKG,Storage King Group
SKK,Stakk Limited
SKM,Skylark Minerals Limited
SKN,Skin Elements Limited
SKO,Serko Limited
SKS,SKS Technologies Group Limited
SKT,SKY Network Television Limited
SKY,Sky Metals Limited
SLA,Solara Minerals Ltd
SLB,Stelar Metals Limited
SLC,Superloop Limited
SLD,"Saluda Medical, Inc."
SLM,Solis Minerals Ltd.
SLS,Solstice Minerals Limited
SLX,Silex Systems Limited
SLZ,Sultan Resources Limited
SM1,Synlait Milk Limited
SMI,Santana Minerals Limited
SMM,Somerset Minerals Limited
SMN,Structural Monitoring Systems Plc
SMR,Stanmore Resources Limited
SMS,Star Minerals Limited
SMX,Strata Minerals Limited
SNC,Sandon Capital Investments Limited
SND,Saunders International Limited
SNG,Siren Gold Limited
SNL,Supply Network Limited
SNM,Sentinel Metals Limited
SNS,SenSen Networks Limited
SNT,Syntara Limited
SNX,Sierra Nevada Gold Inc.
SNZ,Summerset Group Holdings Limited
SOC,SOCO Corporation Ltd
SOL,WHSP Holdings Limited
SOM,SomnoMed Limited
SOP,Synertec Corporation Limited
SOR,Strategic Elements Ltd
SP3,Spectur Limited
SP8,StreamPlay Studio Limited
SPA,Spacetalk Limited
SPD,Southern Palladium Limited
SPG,SPC Global Holdings Ltd
SPK,Spark New Zealand Limited
SPL,Starpharma Holdings Limited
SPN,Sparc Technologies Limited
SPQ,Superior Resources Limited
SPX,Spenda Limited
SPZ,Smart Parking Limited
SQX,SQX Resources Limited
SRG,SRG Global Limited
SRH,Saferoads Holdings Limited
SRJ,SRJ Technologies Group Plc
SRK,Strike Resources Limited
SRL,Sunrise Energy Metals Limited
SRN,Surefire Resources NL
SRNOE,Surefire Resources NL
SRR,Sarama Resources Ltd
SRT,Strata Investment Holdings Plc
SRV,Servcorp Limited
SRZ,Stellar Resources Limited
SS1,Sun Silver Limited
SSG,Shaver Shop Group Limited
SSH,SSH Group Limited
SSL,Sietel Limited
SSM,Service Stream Limited
SST,Steamships Trading Company Limited
STG,Straker Limited
STH,StepChange Holdings Limited
STK,Strickland Metals Limited
STM,Sunstone Metals Limited
STN,Saturn Metals Limited
STO,Santos Limited
STP,Step One Clothing Limited
STV,Swift TV Ltd
STX,Strike Energy Limited
SUH,Southern Hemisphere Mining Limited
SUL,Super Retail Group Limited
SUN,Suncorp Group Limited
SVG,Savannah Goldfields Limited
SVL,Silver Mines Limited
SVM,Sovereign Metals Limited
SVR,Solvar Limited
SVY,Stavely Minerals Limited
SWP,Swoop Holdings Limited
SX2,Southern Cross Gold Consolidated Ltd.
SXE,Southern Cross Electrical Engineering Limited
SXL,Southern Cross Media Group Limited
SYL,Symal Group Limited
SYR,Syrah Resources Limited
T3D,333D Limited
T88,Taiton Resources Limited
T92,Terra Critical Minerals Limited
TAH,Tabcorp Holdings Limited
TAL,Talius Group Limited
TAM,Tanami Gold NL
TAR,Taruga Minerals Limited
TAS,Tasman Resources Ltd
TAT,Tartana Minerals Limited
TBN,Tamboran Resources Corporation
TBR,Tribune Resources Limited
TCG,Turaco Gold Limited
TCL,Transurban Group
TCO,Transmetro Corporation Limited
TD1,TALi Digital Limited
TDO,3D Energi Limited
TEA,Tasmea Limited
TEE,Top End Energy Limited
TEG,Triangle Energy (Global) Limited
TEK,Thorney Technologies Ltd
TEM,Tempest Minerals Limited
TER,TerraCom Limited
TET,Tetragon Energy Limited
TFL,TasFoods Limited
TG1,TechGen Metals Ltd
TG6,TG Metals Limited
TGF,Tribeca Global Natural Resources Limited
TGH,Terragen Holdings Limited
TGM,Theta Gold Mines Limited
TGN,Tungsten Mining NL
THL,Tourism Holdings Limited
THR,Thor Energy Plc
TIA,Tian An Australia Limited
TIO,Temas Resources Corp.
TIP,Teaminvest Private Group Limited
TKM,Trek Metals Limited
TLC,The Lottery Corporation Limited
TLG,Talga Group Ltd
TLM,Talisman Mining Limited
TLS,Telstra Group Limited
TLX,Telix Pharmaceuticals Limited
TM1,Terra Metals Limited
TMB,Tambourah Metals Limited
TMK,TMK Energy Limited
TML,Timah Resources Limited
TMS,Tennant Minerals Limited
TMX,Terrain Minerals Limited
TNC,True North Copper Limited
TNE,Technology One Limited
TNY,Tinybeans Group Limited
TOK,Tolu Minerals Limited
TON,Triton Minerals Limited
TOR,Torque Metals Limited
TOT,360 Capital REIT
TOU,Tlou Energy Limited
TPC,TPC Consolidated Limited
TPG,TPG Telecom Limited
TPW,Temple & Webster Group Ltd
TR2,Tali Resources Ltd
TR8,Tarrina Resources Limited
TRA,Turners Automotive Group Limited
TRE,Toubani Resources Limited
TRI,TrivarX Limited
TRJ,Trajan Group Holdings Limited
TRM,Truscott Mining Corporation Limited
TRP,Tissue Repair Ltd
TRU,TruScreen Group Limited
TSK,Tusker Minerals Ltd
TSL,Titanium Sands Limited
TSO,Tesoro Gold Ltd
TSOOA,Tesoro Gold Ltd
TSR,Turnstone Resources Ltd
TTM,Titan Minerals Limited
TTT,Titomic Limited
TTX,Tetratherix Limited
TUA,Tuas Limited
TVL,Touch Ventures Limited
TVN,Tivan Limited
TVNO,Tivan Limited
TWD,Tamawood Limited
TWE,Treasury Wine Estates Limited
TWL,Trade Window Holdings Limited
TWR,Tower Limited
TXR,TalonX Resources Limited
TYR,Tyro Payments Limited
TYX,Tyranna Resources Limited
TZL,TZ Limited
TZN,Terramin Australia Limited
UBI,"Universal Biosensors, Inc."
UBN,Urbanise.com Limited
UCM,Uscom Limited
UM1,Unity Metals Limited
UNI,Universal Store Holdings Limited
UNT,Unith Ltd
UOS,United Overseas Australia Ltd
URF,US Masters Residential Property Fund
USC,US1 Critical Minerals Limited
USL,Unico Silver Limited
USM,Union Star Metals Ltd
UWC,Underwood Capital Limited
VAL,Valiant Gold Limited
VAN,Vantage Metals Limited
VAU,Vault Minerals Limited
VBC,Verbrec Limited
VBS,Vectus Biosystems Limited
VBX,VBX Limited
VCX,Vicinity Centres
VEA,Viva Energy Group Limited
VEE,VEEM Ltd
VEN,Vintage Energy Limited
VFX,Visionflex Group Limited
VFY,Vitrafy Life Sciences Limited
VGL,Vista Group International Limited
VGN,Virgin Australia Holdings Limited
VHL,Vitasora Health Limited
VHM,VHM Limited
VIG,Victor Group Holdings Limited
VIT,Vitura Health Limited
VKA,Viking Mines Limited
VLS,Vita Life Sciences Limited
VMC,Venus Metals Corporation Limited
VML,Vital Metals Limited
VMM,Viridis Mining and Minerals Limited
VMS,Venari Minerals NL
VMSO,Venari Minerals NL
VMT,Vmoto Limited
VNL,Vinyl Group Ltd
VNT,Ventia Services Group Limited
VPR,Volt Group Limited
VR1,Vection Technologies Limited
VR8,Vanadium Resources Limited
VRC,Volt Resources Limited
VRL,Verity Resources Limited
VRS,Veris Limited
VRX,VRX Silica Limited
VSL,Vulcan Steel Limited
VSR,Voltaic Strategic Resources Limited
VTA,Vita Resources NL
VTI,"Visioneering Technologies, Inc."
VTM,Victory Metals Limited
VTX,Vertex Minerals Limited
VTXOA,Vertex Minerals Limited
VUL,Vulcan Energy Resources Limited
VVA,Viva Leisure Limited
VYS,Vysarn Limited
W2V,Way 2 Vat Ltd
WA1,WA1 Resources Ltd
WAF,West African Resources Limited
WAG,The Australian Wealth Advisors Group Limited
WAK,WA Kaolin Limited
WAR,WAM Strategic Value Limited
WAT,Waterco Limited
WAU,WA Gold Limited
WBC,Westpac Banking Corporation
WBT,Weebit Nano Limited
WC1,West Cobar Metals Limited
WC8,Wildcat Resources Limited
WCE,West Coast Silver Limited
WCN,White Cliff Minerals Limited
WDS,Woodside Energy Group Ltd
WEB,Web Travel Group Limited
WEC,White Energy Company Limited
WEL,Winchester Energy Limited
WES,Wesfarmers Limited
WGN,Wagners Holding Company Limited
WGR,Western Gold Resources Limited
WGX,Westgold Resources Limited
WHC,Whitehaven Coal Limited
WHI,Whitefield Income Limited
WHK,WhiteHawk Limited
WIA,WIA Gold Limited
WIN,WIN Metals Ltd
WJL,Webjet Group Limited
WMG,Western Mines Group Ltd
WNR,Wingara AG Limited
WNX,Wellnex Life Limited
WOA,Wide Open Agriculture Limited
WOR,Worley Limited
WOT,WOTSO
WOW,Woolworths Group Limited
WPR,Waypoint REIT
WRK,Wrkr Ltd
WRX,Western Ridge Resources Limited
WSI,WestStar Industrial Limited
WSR,Westar Resources Limited
WTC,WiseTech Global Limited
WTL,WT Financial Group Limited
WTM,Waratah Minerals Limited
WTN,Winton Land Limited
WWG,Wiseway Group Limited
WWI,West Wits Mining Limited
WYX,Western Yilgarn NL
WYXOA,Western Yilgarn NL
WZR,Wisr Limited
X2M,X2M Connect Limited
XEN,Xenitra Limited
XF1,Xref Limited
XGL,Xamble Group Limited
XGLO,Xamble Group Limited
XPD,Xpedra Resources Limited
XPN,XPON Technologies Group Limited
XRA,Xenora Minerals Limited
XRF,XRF Scientific Limited
XRG,xReality Group Limited
XRO,Xero Limited
XST,Xstate Resources Limited
XYZ,"Block, Inc."
YAL,Yancoal Australia Ltd
YAR,Yari Resources Ltd
YOJ,Yojee Limited
YOW,Yowie Group Limited
YRL,Yandal Resources Limited
YUG,Yugo Metals Limited
ZAG,Zuleika Gold Limited
ZEO,Zeotech Limited
ZEU,Zeus Resources Limited
ZGL,Zicom Group Limited
ZIM,Zimplats Holdings Limited
ZIP,Zip Co Limited
ZLD,Zelira Therapeutics Limited
ZMI,Zinc of Ireland NL
ZMM,Zimi Limited
ZNC,Zenith Minerals Limited
ZNO,Zoono Group Limited
