symbol,name,yahoo,stockanalysis,has_listing
DAAG,Data Agro Limited,DAAG.KA,DAAG,1
DADX,Dadex Eternit Limited,DADX.KA,DADX,1
DBCI,Dadabhoy Cement Industries Limited,DBCI.KA,DBCI,1
DCL,Dewan Cement Limited,DCL.KA,DCL,1
DCR,Dolmen City REIT,DCR.KA,DCR,1
DEL,Dawood Equities Limited,DEL.KA,DEL,1
DFML,Dewan Farooque Motors Limited,DFML.KA,DFML,1
DFSM,Dewan Farooque Spinning Mills Limited,DFSM.KA,DFSM,1
DGKC,D.G. Khan Cement Company Limited,DGKC.KA,DGKC,1
DIIL,Diamond Industries Limited,DIIL.KA,DIIL,1
DINT,Din Textile Mills Limited,DINT.KA,DINT,1
DLL,Dawood Lawrencepur Limited,DLL.KA,DLL,1
DMC,D.M. Corporation Limited.,DMC.KA,DMC,1
DMTM,Dewan Mushtaq Textile Mills Limited,DMTM.KA,DMTM,1
DNCC,Dandot Cement Company Limited,DNCC.KA,DNCC,1
DOL,Descon Oxychem Limited,DOL.KA,DOL,1
DSIL,D.S. Industries Limited,DSIL.KA,DSIL,1
DSL,Dost Steels Limited,DSL.KA,DSL,1
DWAE,Dewan Automotive Engineering Limited,DWAE.KA,DWAE,1
DWSM,Dewan Sugar Mills Limited,DWSM.KA,DWSM,1
DWTM,Dewan Textile Mills Limited,DWTM.KA,DWTM,1
DYNO,Dynea Pakistan Limited,DYNO.KA,DYNO,1
ECOP,Ecopack Limited,ECOP.KA,ECOP,1
EFERT,Engro Fertilizers Limited,EFERT.KA,EFERT,1
EFUG,EFU General Insurance Limited,EFUG.KA,EFUG,1
EFUL,EFU Life Assurance Limited,EFUL.KA,EFUL,1
ELCM,Elahi Cotton Mills Limited,ELCM.KA,ELCM,1
ELSM,Ellcot Spinning Mills Limited,ELSM.KA,ELSM,1
EMCO,Emco Industries Limited,EMCO.KA,EMCO,1
ENGROH,Engro Holdings Limited,ENGROH.KA,ENGROH,1
EPCL,Engro Polymer & Chemicals Limited,EPCL.KA,EPCL,1
EPQL,Engro Powergen Qadirpur Limited,EPQL.KA,EPQL,1
ESBL,Escorts Investment Bank Limited,ESBL.KA,ESBL,1
EWIC,East West Insurance Company Limited,EWIC.KA,EWIC,1
EXIDE,Exide Pakistan Limited,EXIDE.KA,EXIDE,1
FABL,Faysal Bank Limited,FABL.KA,FABL,1
FANM,First Al-Noor Modaraba,FANM.KA,FANM,1
FASM,Faisal Spinning Mills Limited,FASM.KA,FASM,1
FATIMA,Fatima Fertilizer Company Limited,FATIMA.KA,FATIMA,1
FCCL,Fauji Cement Company Limited,FCCL.KA,FCCL,1
FCEL,First Capital Equities Limited,FCEL.KA,FCEL,1
FCEPL,Frieslandcampina Engro Pakistan Limited,FCEPL.KA,FCEPL,1
FCIBL,First Credit and Investment Bank Limited,FCIBL.KA,FCIBL,1
FCL,Fast Cables Limited,FCL.KA,FCL,1
FCSC,First Capital Securities Corporation,FCSC.KA,FCSC,1
FDPL,First Dawood Properties Limited,FDPL.KA,FDPL,1
FECM,First Elite Capital Modaraba,FECM.KA,FECM,1
FECTC,Fecto Cement Limited,FECTC.KA,FECTC,1
FEROZ,Ferozsons Laboratories Limited,FEROZ.KA,FEROZ,1
FFC,Fauji Fertilizer Company Limited,FFC.KA,FFC,1
FFL,Fauji Foods Limited,FFL.KA,FFL,1
FFLM,First Fidelity Leasing Modaraba,FFLM.KA,FFLM,1
FHAM,First Habib Modaraba,FHAM.KA,FHAM,1
FIBLM,First IBL Modaraba,FIBLM.KA,FIBLM,1
FIL,Fateh Industries Ltd,FIL.KA,FIL,1
FIMM,First Imrooz Modaraba,FIMM.KA,FIMM,1
FLYNG,Flying Cement Company Limited,FLYNG.KA,FLYNG,1
FML,Feroze1888 Mills Limited,FML.KA,FML,1
FNEL,First National Equities Limited,FNEL.KA,FNEL,1
FPJM,First Punjab Modaraba,FPJM.KA,FPJM,1
FPRM,First Paramount Modaraba,FPRM.KA,FPRM,1
FRCL,Frontier Ceramics Limited,FRCL.KA,FRCL,1
FRSM,Faran Sugar Mills Limited,FRSM.KA,FRSM,1
FSWL,Fateh Sports Wear Limited,FSWL.KA,FSWL,1
FTMM,First Treet Manufacturing Modaraba,FTMM.KA,FTMM,1
FTSM,First Tri-Star Modaraba,FTSM.KA,FTSM,1
FZCM,Fazal Cloth Mills Limited,FZCM.KA,FZCM,1
GADT,Gadoon Textile Mills Limited,GADT.KA,GADT,1
GAL,Ghandhara Automobiles Limited,GAL.KA,GAL,1
GAMON,Gammon Pakistan Limited,GAMON.KA,GAMON,1
GATI,Gatron (Industries) Limited,GATI.KA,GATI,1
GATM,Gul Ahmed Textile Mills Limited,GATM.KA,GATM,1
GCIL,Ghani Chemical Industries Limited,GCIL.KA,GCIL,1
GDL,Ghani Dairies Limited,GDL.KA,GDL,1
GEMMEL,Mughal Energy Limited(GEM),GEMMEL.KA,GEMMEL,1
GEMNETS,Nets International Communication Limited,GEMNETS.KA,GEMNETS,1
GEMPAPL,Pak Agro Packaging Limited(GEM),GEMPAPL.KA,GEMPAPL,1
GFIL,Ghazi Fabrics International Limited,GFIL.KA,GFIL,1
GGGL,Ghani Global Glass Limited,GGGL.KA,GGGL,1
GGL,Ghani Global Holdings Limited,GGL.KA,GGL,1
GHGL,Ghani Glass Limited,GHGL.KA,GHGL,1
GHNI,Ghandhara Industries Limited,GHNI.KA,GHNI,1
GIL,Good Luck Industries Ltd.,GIL.KA,GIL,1
GLAXO,GlaxoSmithKline Pakistan Limited,GLAXO.KA,GLAXO,1
GOC,GOC (Pak) Limited.,GOC.KA,GOC,1
