symbol,name,yahoo,stockanalysis,has_listing
AGARWALEYE,Dr. Agarwal's Health Care Limited,AGARWALEYE.NS,AGARWALEYE,1
AGI,AGI Greenpac Limited,AGI.NS,AGI,1
AGIIL,Agi Infra Limited,AGIIL.NS,AGIIL,1
AGROPHOS,Agro Phos India Limited,AGROPHOS.NS,AGROPHOS,1
AHCL,Anlon Healthcare Limited,AHCL.NS,AHCL,1
AHLADA,Ahlada Engineers Limited,AHLADA.NS,AHLADA,1
AHLEAST,Asian Hotels (East) Limited,AHLEAST.NS,AHLEAST,1
AHLUCONT,Ahluwalia Contracts (India) Limited,AHLUCONT.NS,AHLUCONT,1
AIAENG,AIA Engineering Limited,AIAENG.NS,AIAENG,1
AIIL,Authum Investment & Infrastructure Limited,AIIL.NS,AIIL,1
AIRAN,Airan Limited,AIRAN.NS,AIRAN,1
AIROLAM,Airo Lam limited,AIROLAM.NS,AIROLAM,1
AJANTPHARM,Ajanta Pharma Limited,AJANTPHARM.NS,AJANTPHARM,1
AJAXENGG,Ajax Engineering Limited,AJAXENGG.NS,AJAXENGG,1
AJMERA,Ajmera Realty & Infra India Limited,AJMERA.NS,AJMERA,1
AJOONI,Ajooni Biotech Limited,AJOONI.NS,AJOONI,1
AKASH,Akash Infra-Projects Limited,AKASH.NS,AKASH,1
AKCAPIT,AK Capital Services Limited,AKCAPIT.NS,AKCAPIT,1
AKG,Akg Exim Limited,AKG.NS,AKG,1
AKI,AKI India Limited,AKI.NS,AKI,1
AKSHAR,Akshar Spintex Limited,AKSHAR.NS,AKSHAR,1
AKUMS,Akums Drugs and Pharmaceuticals Limited,AKUMS.NS,AKUMS,1
ALANKIT,Alankit Limited,ALANKIT.NS,ALANKIT,1
ALBERTDAVD,Albert David Limited,ALBERTDAVD.NS,ALBERTDAVD,1
ALEMBICLTD,Alembic Limited,ALEMBICLTD.NS,ALEMBICLTD,1
ALGOQUANT,Algoquant Fintech Limited,ALGOQUANT.NS,ALGOQUANT,1
ALICON,Alicon Castalloy Limited,ALICON.NS,ALICON,1
ALIVUS,Alivus Life Sciences Limited,ALIVUS.NS,ALIVUS,1
ALKEM,Alkem Laboratories Limited,ALKEM.NS,ALKEM,1
ALKYLAMINE,Alkyl Amines Chemicals Limited,ALKYLAMINE.NS,ALKYLAMINE,1
ALLCARGO,Allcargo Logistics Limited,ALLCARGO.NS,ALLCARGO,1
ALLDIGI,Alldigi Tech Limited,ALLDIGI.NS,ALLDIGI,1
ALLTIME,All Time Plastics Limited,ALLTIME.NS,ALLTIME,1
ALMONDZ,Almondz Global Securities Limited,ALMONDZ.NS,ALMONDZ,1
ALOKINDS,Alok Industries Limited,ALOKINDS.NS,ALOKINDS,1
ALPA,Alpa Laboratories Limited,ALPA.NS,ALPA,1
ALPHAGEO,Alphageo (India) Limited,ALPHAGEO.NS,ALPHAGEO,1
AMAGI,Amagi Media Labs Limited,AMAGI.NS,AMAGI,1
AMBALALSA,Ambalal Sarabhai Enterprises Limited,AMBALALSA.NS,AMBALALSA,1
AMBER,Amber Enterprises India Limited,AMBER.NS,AMBER,1
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR.NS,AMBICAAGAR,1
AMBIKCO,Ambika Cotton Mills Limited,AMBIKCO.NS,AMBIKCO,1
AMBUJACEM,Ambuja Cements Limited,AMBUJACEM.NS,AMBUJACEM,1
AMDIND,AMD Industries Limited,AMDIND.NS,AMDIND,1
AMJLAND,Amj Land Holdings Limited,AMJLAND.NS,AMJLAND,1
AMNPLST,Amines & Plasticizers Limited,AMNPLST.NS,AMNPLST,1
AMRUTANJAN,Amrutanjan Health Care Limited,AMRUTANJAN.NS,AMRUTANJAN,1
ANANDRATHI,Anand Rathi Wealth Limited,ANANDRATHI.NS,ANANDRATHI,1
ANANTRAJ,Anant Raj Limited,ANANTRAJ.NS,ANANTRAJ,1
ANDHRAPAP,ANDHRA PAPER LIMITED,ANDHRAPAP.NS,ANDHRAPAP,1
ANDHRSUGAR,The Andhra Sugars Limited,ANDHRSUGAR.NS,ANDHRSUGAR,1
ANGELONE,Angel One Limited,ANGELONE.NS,ANGELONE,1
ANIKINDS,Anik Industries Limited,ANIKINDS.NS,ANIKINDS,1
ANMOL,Anmol India Limited,ANMOL.NS,ANMOL,1
ANTELOPUS,Antelopus Selan Energy Limited,ANTELOPUS.NS,ANTELOPUS,1
ANTGRAPHIC,Antarctica Limited,ANTGRAPHIC.NS,ANTGRAPHIC,1
ANTHEM,Anthem Biosciences Limited,ANTHEM.NS,ANTHEM,1
ANUHPHR,Anuh Pharma Limited,ANUHPHR.NS,ANUHPHR,1
ANUP,The Anup Engineering Limited,ANUP.NS,ANUP,1
ANURAS,Anupam Rasayan India Limited,ANURAS.NS,ANURAS,1
APARINDS,Apar Industries Limited,APARINDS.NS,APARINDS,1
APCL,Anjani Portland Cement Limited,APCL.NS,APCL,1
APCOTEXIND,Apcotex Industries Limited,APCOTEXIND.NS,APCOTEXIND,1
APEX,Apex Frozen Foods Limited,APEX.NS,APEX,1
APLAPOLLO,APL Apollo Tubes Limited,APLAPOLLO.NS,APLAPOLLO,1
APLLTD,Alembic Pharmaceuticals Limited,APLLTD.NS,APLLTD,1
APOLLO,Apollo Micro Systems Limited,APOLLO.NS,APOLLO,1
APOLLOHOSP,Apollo Hospitals,APOLLOHOSP.NS,APOLLOHOSP,1
APOLLOPIPE,Apollo Pipes Limited,APOLLOPIPE.NS,APOLLOPIPE,1
APOLLOTYRE,Apollo Tyres Limited,APOLLOTYRE.NS,APOLLOTYRE,1
APOLSINHOT,Apollo Sindoori Hotels Limited,APOLSINHOT.NS,APOLSINHOT,1
APTUS,Aptus Value Housing Finance India Limited,APTUS.NS,APTUS,1
AQYLON,Aqylon Nexus Limited,AQYLON.NS,AQYLON,1
ARCHIDPLY,Archidply Industries Limited,ARCHIDPLY.NS,ARCHIDPLY,1
ARCHIES,Archies Limited,ARCHIES.NS,ARCHIES,1
ARE&M,Amara Raja Energy & Mobility Limited,ARE&M.NS,ARE_M,1
ARENTERP,Rajdarshan Industries Limited,ARENTERP.NS,ARENTERP,1
ARFIN,Arfin India Limited,ARFIN.NS,ARFIN,1
ARIES,Aries Agro Limited,ARIES.NS,ARIES,1
ARIHANT,Arihant Foundations & Housing Limited,ARIHANT.NS,ARIHANT,1
ARIHANTCAP,Arihant Capital Markets Limited,ARIHANTCAP.NS,ARIHANTCAP,1
ARIHANTSUP,Arihant Superstructures Limited,ARIHANTSUP.NS,ARIHANTSUP,1
ARIS,Arisinfra Solutions Limited,ARIS.NS,ARIS,1
ARKADE,Arkade Developers Limited,ARKADE.NS,ARKADE,1
ARMANFIN,Arman Financial Services Limited,ARMANFIN.NS,ARMANFIN,1
AROGRANITE,Aro Granite Industries Limited,AROGRANITE.NS,AROGRANITE,1
ARSSBL,Anand Rathi Share and Stock Brokers Limited,ARSSBL.NS,ARSSBL,1
ARTEMISMED,Artemis Medicare Services Limited,ARTEMISMED.NS,ARTEMISMED,1
ARTNIRMAN,Art Nirman Limited,ARTNIRMAN.NS,ARTNIRMAN,1
ARVEE,Arvee Laboratories (India) Limited,ARVEE.NS,ARVEE,1
ARVIND,Arvind Limited,ARVIND.NS,ARVIND,1
ARVINDFASN,Arvind Fashions Limited,ARVINDFASN.NS,ARVINDFASN,1
ARVSMART,Arvind SmartSpaces Limited,ARVSMART.NS,ARVSMART,1
ASAHIINDIA,Asahi India Glass Limited,ASAHIINDIA.NS,ASAHIINDIA,1
ASAL,Automotive Stampings and Assemblies Limited,ASAL.NS,ASAL,1
ASALCBR,Associated Alcohols & Breweries Ltd.,ASALCBR.NS,ASALCBR,1
ASHAPURMIN,Ashapura Minechem Limited,ASHAPURMIN.NS,ASHAPURMIN,1
ASHIANA,Ashiana Housing Limited,ASHIANA.NS,ASHIANA,1
ASHIKAG,Ashika Global Securities Limited,ASHIKAG.NS,ASHIKAG,1
ASHIMASYN,Ashima Limited,ASHIMASYN.NS,ASHIMASYN,1
ASHOKA,Ashoka Buildcon Limited,ASHOKA.NS,ASHOKA,1
ASHOKAMET,Ashoka Metcast Limited,ASHOKAMET.NS,ASHOKAMET,1
ASHOKLEY,Ashok Leyland Limited,ASHOKLEY.NS,ASHOKLEY,1
ASIANENE,Asian Energy Services Limited,ASIANENE.NS,ASIANENE,1
ASIANHOTNR,Asian Hotels (North) Limited,ASIANHOTNR.NS,ASIANHOTNR,1
ASIANPAINT,Asian Paints,ASIANPAINT.NS,ASIANPAINT,1
ASIANTILES,Asian Granito India Limited,ASIANTILES.NS,ASIANTILES,1
ASKAUTOLTD,ASK Automotive Limited,ASKAUTOLTD.NS,ASKAUTOLTD,1
ASPINWALL,Aspinwall and Company Limited,ASPINWALL.NS,ASPINWALL,1
ASTAR,Asian Star Company Limited,ASTAR.NS,ASTAR,1
ASTEC,Astec LifeSciences Limited,ASTEC.NS,ASTEC,1
ASTERDM,Aster DM Quality Care Limited,ASTERDM.NS,ASTERDM,1
ASTRAL,Astral Limited,ASTRAL.NS,ASTRAL,1
ASTRAMICRO,Astra Microwave Products Limited,ASTRAMICRO.NS,ASTRAMICRO,1
ASTRAZEN,AstraZeneca Pharma India Limited,ASTRAZEN.NS,ASTRAZEN,1
ATALREAL,Atal Realtech Limited,ATALREAL.NS,ATALREAL,1
ATAM,Atam Valves Limited,ATAM.NS,ATAM,1
ATGL,Adani Total Gas Limited,ATGL.NS,ATGL,1
ATHERENERG,Ather Energy Limited,ATHERENERG.NS,ATHERENERG,1
ATL,Allcargo Terminals Limited,ATL.NS,ATL,1
ATLANTAA,ATLANTAA LIMITED,ATLANTAA.NS,ATLANTAA,1
ATLANTAELE,Atlanta Electricals Limited,ATLANTAELE.NS,ATLANTAELE,1
ATLASCYCLE,Atlas Cycles (Haryana) Limited,ATLASCYCLE.NS,ATLASCYCLE,1
ATUL,Atul Limited,ATUL.NS,ATUL,1
ATULAUTO,Atul Auto Limited,ATULAUTO.NS,ATULAUTO,1
AUBANK,AU Small Finance Bank Limited,AUBANK.NS,AUBANK,1
AURIONPRO,Aurionpro Solutions Limited,AURIONPRO.NS,AURIONPRO,1
AUROPHARMA,Aurobindo Pharma Limited,AUROPHARMA.NS,AUROPHARMA,1
AURUM,Aurum PropTech Limited,AURUM.NS,AURUM,1
AURUS,AURUS GEM CORPORATION LIMITED,AURUS.NS,AURUS,1
AUTOAXLES,Automotive Axles Limited,AUTOAXLES.NS,AUTOAXLES,1
AVADHSUGAR,Avadh Sugar & Energy Limited,AVADHSUGAR.NS,AVADHSUGAR,1
AVALON,Avalon Technologies Limited,AVALON.NS,AVALON,1
AVANTEL,Avantel Limited,AVANTEL.NS,AVANTEL,1
AVANTIFEED,Avanti Feeds Limited,AVANTIFEED.NS,AVANTIFEED,1
AVL,Aditya Vision Limited,AVL.NS,AVL,1
AVONMORE,Avonmore Capital & Management Services Limited,AVONMORE.NS,AVONMORE,1
AVROIND,AVRO INDIA LIMITED,AVROIND.NS,AVROIND,1
AVTNPL,AVT Natural Products Limited,AVTNPL.NS,AVTNPL,1
AWFIS,Awfis Space Solutions Limited,AWFIS.NS,AWFIS,1
AWHCL,Antony Waste Handling Cell Limited,AWHCL.NS,AWHCL,1
AWL,AWL Agri Business Limited,AWL.NS,AWL,1
AXISBANK,Axis Bank,AXISBANK.NS,AXISBANK,1
AXISCADES,AXISCADES Technologies Limited,AXISCADES.NS,AXISCADES,1
AXITA,Axita Cotton Limited,AXITA.NS,AXITA,1
AYE,Aye Finance Limited,AYE.NS,AYE,1
AYMSYNTEX,AYM Syntex Limited,AYMSYNTEX.NS,AYMSYNTEX,1
AZAD,Azad Engineering Limited,AZAD.NS,AZAD,1
BAGFILMS,B.A.G Films and Media Limited,BAGFILMS.NS,BAGFILMS,1
BAIDFIN,Baid Finserv Limited,BAIDFIN.NS,BAIDFIN,1
BAJAJ-AUTO,Bajaj Auto,BAJAJ-AUTO.NS,BAJAJ_AUTO,1
BAJAJCON,Bajaj Consumer Care Limited,BAJAJCON.NS,BAJAJCON,1
BAJAJELEC,Bajaj Electricals Limited,BAJAJELEC.NS,BAJAJELEC,1
BAJAJFINSV,Bajaj Finserv,BAJAJFINSV.NS,BAJAJFINSV,1
BAJAJHCARE,Bajaj Healthcare Limited,BAJAJHCARE.NS,BAJAJHCARE,1
BAJAJHFL,Bajaj Housing Finance Limited,BAJAJHFL.NS,BAJAJHFL,1
BAJAJHIND,Bajaj Hindusthan Sugar Limited,BAJAJHIND.NS,BAJAJHIND,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS,BAJAJHLDNG,1
BAJAJINDEF,Indef Manufacturing Limited,BAJAJINDEF.NS,BAJAJINDEF,1
BAJAJST,Bajaj Steel Industries Limited,BAJAJST.NS,BAJAJST,1
BAJEL,Bajel Projects Limited,BAJEL.NS,BAJEL,1
BAJFINANCE,Bajaj Finance,BAJFINANCE.NS,BAJFINANCE,1
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE.NS,BALAJEE,1
BALAJITELE,Balaji Telefilms Limited,BALAJITELE.NS,BALAJITELE,1
BALAMINES,Balaji Amines Limited,BALAMINES.NS,BALAMINES,1
BALAXI,BALAXI PHARMACEUTICALS LIMITED,BALAXI.NS,BALAXI,1
BALKRISHNA,Balkrishna Paper Mills Limited,BALKRISHNA.NS,BALKRISHNA,1
BALKRISIND,Balkrishna Industries Limited,BALKRISIND.NS,BALKRISIND,1
BALMLAWRIE,Balmer Lawrie & Company Limited,BALMLAWRIE.NS,BALMLAWRIE,1
BALPHARMA,Bal Pharma Limited,BALPHARMA.NS,BALPHARMA,1
BALRAMCHIN,Balrampur Chini Mills Limited,BALRAMCHIN.NS,BALRAMCHIN,1
BALUFORGE,Balu Forge Industries Limited,BALUFORGE.NS,BALUFORGE,1
BANARBEADS,Banaras Beads Limited,BANARBEADS.NS,BANARBEADS,1
BANARISUG,Bannari Amman Sugars Limited,BANARISUG.NS,BANARISUG,1
BANCOINDIA,Banco Products (I) Limited,BANCOINDIA.NS,BANCOINDIA,1
BANDHANBNK,Bandhan Bank Limited,BANDHANBNK.NS,BANDHANBNK,1
BANG,Bang Overseas Limited,BANG.NS,BANG,1
BANKBARODA,Bank of Baroda,BANKBARODA.NS,BANKBARODA,1
BANKINDIA,Bank of India,BANKINDIA.NS,BANKINDIA,1
BANSALWIRE,Bansal Wire Industries Limited,BANSALWIRE.NS,BANSALWIRE,1
BANSWRAS,Banswara Syntex Limited,BANSWRAS.NS,BANSWRAS,1
BASF,BASF India Limited,BASF.NS,BASF,1
BATAINDIA,Bata India Limited,BATAINDIA.NS,BATAINDIA,1
BATLIBOI,Batliboi Limited,BATLIBOI.NS,BATLIBOI,1
BAYERCROP,Bayer Cropscience Limited,BAYERCROP.NS,BAYERCROP,1
BBL,Bharat Bijlee Limited,BBL.NS,BBL,1
BBOX,Black Box Limited,BBOX.NS,BBOX,1
BBTC,The Bombay Burmah Trading Corporation Limited,BBTC.NS,BBTC,1
BBTCL,B&B Triplewall Containers Limited,BBTCL.NS,BBTCL,1
BCG,Brightcom Group Limited,BCG.NS,BCG,1
BCLIND,Bcl Industries Limited,BCLIND.NS,BCLIND,1
BCONCEPTS,Brand Concepts Limited,BCONCEPTS.NS,BCONCEPTS,1
BCPL,BCPL Railway Infrastructure Limited,BCPL.NS,BCPL,1
BDL,Bharat Dynamics Limited,BDL.NS,BDL,1
BEARDSELL,Beardsell Limited,BEARDSELL.NS,BEARDSELL,1
BECTORFOOD,Mrs. Bectors Food Specialities Limited,BECTORFOOD.NS,BECTORFOOD,1
BEDMUTHA,Bedmutha Industries Limited,BEDMUTHA.NS,BEDMUTHA,1
BEEKAY,Beekay Steel Industries Limited,BEEKAY.NS,BEEKAY,1
BEL,Bharat Electronics Limited,BEL.NS,BEL,1
BELLACASA,Bella Casa Fashion & Retail Limited,BELLACASA.NS,BELLACASA,1
BELRISE,Belrise Industries Limited,BELRISE.NS,BELRISE,1
BEML,BEML Limited,BEML.NS,BEML,1
BENGALASM,Bengal & Assam Company Limited,BENGALASM.NS,BENGALASM,1
BEPL,Bhansali Engineering Polymers Limited,BEPL.NS,BEPL,1
BERGEPAINT,Berger Paints (I) Limited,BERGEPAINT.NS,BERGEPAINT,1
BESTAGRO,Best Agrolife Limited,BESTAGRO.NS,BESTAGRO,1
BETA,Beta Drugs Limited,BETA.NS,BETA,1
BFINVEST,BF Investment Limited,BFINVEST.NS,BFINVEST,1
BFUTILITIE,BF Utilities Limited,BFUTILITIE.NS,BFUTILITIE,1
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,BHAGCHEM.NS,BHAGCHEM,1
BHARATCOAL,Bharat Coking Coal Limited,BHARATCOAL.NS,BHARATCOAL,1
BHARATFORG,Bharat Forge Limited,BHARATFORG.NS,BHARATFORG,1
BHARATRAS,Bharat Rasayan Limited,BHARATRAS.NS,BHARATRAS,1
BHARATSE,Bharat Seats Limited,BHARATSE.NS,BHARATSE,1
BHARATWIRE,Bharat Wire Ropes Limited,BHARATWIRE.NS,BHARATWIRE,1
BHARTIARTL,Bharti Airtel,BHARTIARTL.NS,BHARTIARTL,1
BHARTIHEXA,Bharti Hexacom Limited,BHARTIHEXA.NS,BHARTIHEXA,1
BHEL,Bharat Heavy Electricals Limited,BHEL.NS,BHEL,1
BI,Bilcare Limited,BI.NS,BI,1
BIGBLOC,Bigbloc Construction Limited,BIGBLOC.NS,BIGBLOC,1
BIKAJI,Bikaji Foods International Limited,BIKAJI.NS,BIKAJI,1
BIL,Bhartiya International Limited,BIL.NS,BIL,1
BIMETAL,Bimetal Bearings Limited,BIMETAL.NS,BIMETAL,1
BIOCON,Biocon Limited,BIOCON.NS,BIOCON,1
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM.NS,BIOFILCHEM,1
BIRLACORPN,Birla Corporation Limited,BIRLACORPN.NS,BIRLACORPN,1
BIRLAMONEY,Aditya Birla Money Limited,BIRLAMONEY.NS,BIRLAMONEY,1
BIRLANU,BirlaNu Limited,BIRLANU.NS,BIRLANU,1
BIRLAPREC,Birla Precision Technologies Limited,BIRLAPREC.NS,BIRLAPREC,1
BLACKBUCK,BLACKBUCK LIMITED,BLACKBUCK.NS,BLACKBUCK,1
BLAL,BEML Land Assets Limited,BLAL.NS,BLAL,1
BLBLIMITED,BLB Limited,BLBLIMITED.NS,BLBLIMITED,1
BLIL,Balmer Lawrie Investments Limited,BLIL.NS,BLIL,1
BLKASHYAP,B. L. Kashyap and Sons Limited,BLKASHYAP.NS,BLKASHYAP,1
BLS,BLS International Services Limited,BLS.NS,BLS,1
BLSE,BLS E-Services Limited,BLSE.NS,BLSE,1
BLUEDART,Blue Dart Express Limited,BLUEDART.NS,BLUEDART,1
BLUEJET,Blue Jet Healthcare Limited,BLUEJET.NS,BLUEJET,1
BLUESTARCO,Blue Star Limited,BLUESTARCO.NS,BLUESTARCO,1
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,BLUESTONE.NS,BLUESTONE,1
BLUSPRING,Bluspring Enterprises Limited,BLUSPRING.NS,BLUSPRING,1
BMWVENTLTD,BMW Ventures Limited,BMWVENTLTD.NS,BMWVENTLTD,1
BOHRAIND,Bohra Industries Limited,BOHRAIND.NS,BOHRAIND,1
BOMDYEING,Bombay Dyeing & Mfg Company Limited,BOMDYEING.NS,BOMDYEING,1
BONLON,Bonlon Industries Limited,BONLON.NS,BONLON,1
BORANA,Borana Weaves Limited,BORANA.NS,BORANA,1
BOROLTD,Borosil Limited,BOROLTD.NS,BOROLTD,1
BORORENEW,BOROSIL RENEWABLES LIMITED,BORORENEW.NS,BORORENEW,1
BOROSCI,Borosil Scientific Limited,BOROSCI.NS,BOROSCI,1
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,BOSCH-HCIL.NS,BOSCH_HCIL,0
BOSCHLTD,Bosch Limited,BOSCHLTD.NS,BOSCHLTD,1
BPCL,Bharat Petroleum,BPCL.NS,BPCL,1
BPL,BPL Limited,BPL.NS,BPL,1
BRIGADE,Brigade Enterprises Limited,BRIGADE.NS,BRIGADE,1
BRIGHOTEL,Brigade Hotel Ventures Limited,BRIGHOTEL.NS,BRIGHOTEL,1
BRITANNIA,Britannia Industries,BRITANNIA.NS,BRITANNIA,1
BRNL,Bharat Road Network Limited,BRNL.NS,BRNL,1
BSE,BSE Limited,BSE.NS,BSE,1
BSL,BSL Limited,BSL.NS,BSL,1
BSOFT,BIRLASOFT LIMITED,BSOFT.NS,BSOFT,1
BTML,Bodhi Tree Multimedia Limited,BTML.NS,BTML,1
BUILDPRO,Shankara Buildpro Limited,BUILDPRO.NS,BUILDPRO,1
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS,BUTTERFLY,1
BVCL,Barak Valley Cements Limited,BVCL.NS,BVCL,1
CAMLINFINE,Camlin Fine Sciences Limited,CAMLINFINE.NS,CAMLINFINE,1
CAMPUS,Campus Activewear Limited,CAMPUS.NS,CAMPUS,1
CAMS,Computer Age Management Services Limited,CAMS.NS,CAMS,1
CANBK,Canara Bank,CANBK.NS,CANBK,1
CANFINHOME,Can Fin Homes Limited,CANFINHOME.NS,CANFINHOME,1
CANHLIFE,Canara HSBC Life Insurance Company Limited,CANHLIFE.NS,CANHLIFE,1
CANTABIL,Cantabil Retail India Limited,CANTABIL.NS,CANTABIL,1
CAPACITE,Capacit'e Infraprojects Limited,CAPACITE.NS,CAPACITE,1
CAPILLARY,Capillary Technologies India Limited,CAPILLARY.NS,CAPILLARY,1
CAPITALSFB,Capital Small Finance Bank Limited,CAPITALSFB.NS,CAPITALSFB,1
CAPLIPOINT,Caplin Point Laboratories Limited,CAPLIPOINT.NS,CAPLIPOINT,1
CAPTRUST,Capital Trust Limited,CAPTRUST.NS,CAPTRUST,1
CARBORUNIV,Carborundum Universal Limited,CARBORUNIV.NS,CARBORUNIV,1
CARERATING,CARE Ratings Limited,CARERATING.NS,CARERATING,1
CARRARO,Carraro India Limited,CARRARO.NS,CARRARO,1
CARTRADE,Cartrade Tech Limited,CARTRADE.NS,CARTRADE,1
CARYSIL,CARYSIL LIMITED,CARYSIL.NS,CARYSIL,1
