symbol,name,yahoo,stockanalysis,has_listing
AI1,ADISYN LTD,AI1.AX,AI1,0
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA.AX,AIA,0
AIH,ADVANCED INNERGY HOLDINGS LIMITED,AIH.AX,AIH,0
AII,ALMONTY INDUSTRIES INC.,AII.AX,AII,0
AIM,AI-MEDIA TECHNOLOGIES LIMITED,AIM.AX,AIM,0
AIQ,ALTERNATIVE INVESTMENT TRUST,AIQ.AX,AIQ,0
AIS,AERIS RESOURCES LIMITED,AIS.AX,AIS,0
AIV,ACTIVEX LIMITED,AIV.AX,AIV,0
AIZ,AIR NEW ZEALAND LIMITED,AIZ.AX,AIZ,0
AJL,AJ LUCAS GROUP LIMITED,AJL.AX,AJL,0
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,AJX.AX,AJX,0
AKA,AUREKA LIMITED,AKA.AX,AKA,0
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,AKG.AX,AKG,0
AKM,ASPIRE MINING LIMITED,AKM.AX,AKM,0
AKN,AUKING MINING LIMITED,AKN.AX,AKN,0
AKO,AKORA RESOURCES LIMITED,AKO.AX,AKO,0
AL3,AML3D LIMITED,AL3.AX,AL3,0
ALA,AROVELLA THERAPEUTICS LIMITED,ALA.AX,ALA,0
ALB,ALBION RESOURCES LIMITED,ALB.AX,ALB,0
ALC,ALCIDION GROUP LIMITED,ALC.AX,ALC,0
ALD,AMPOL LIMITED,ALD.AX,ALD,0
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,ALI.AX,ALI,0
ALK,ALKANE RESOURCES LIMITED,ALK.AX,ALK,0
ALL,Aristocrat Leisure,ALL.AX,ALL,0
ALM,ALMA METALS LIMITED,ALM.AX,ALM,0
ALQ,ALS LIMITED,ALQ.AX,ALQ,0
ALR,ALTAIR MINERALS LIMITED,ALR.AX,ALR,0
ALV,ALVO MINERALS LIMITED,ALV.AX,ALV,0
ALX,ATLAS ARTERIA,ALX.AX,ALX,0
ALY,ALCHEMY RESOURCES LIMITED,ALY.AX,ALY,0
AM3,AMARA MINERALS LIMITED,AM3.AX,AM3,0
AM5,ANTARES METALS LIMITED,AM5.AX,AM5,0
AM7,ARCADIA MINERALS LIMITED,AM7.AX,AM7,0
AMA,AMA GROUP LIMITED,AMA.AX,AMA,0
AMC,AMCOR PLC,AMC.AX,AMC,0
AMD,ARROW MINERALS LTD,AMD.AX,AMD,0
AMH,AMCIL LIMITED,AMH.AX,AMH,0
AMI,AURELIA METALS LIMITED,AMI.AX,AMI,0
AMN,AGRIMIN LIMITED,AMN.AX,AMN,0
AMO,AMBERTECH LIMITED,AMO.AX,AMO,0
AMP,AMP LIMITED,AMP.AX,AMP,0
AMS,ATOMOS LIMITED,AMS.AX,AMS,0
AMU,AMERICAN URANIUM LTD,AMU.AX,AMU,0
AMX,AEROMETREX LIMITED,AMX.AX,AMX,0
AN1,ANAGENICS LIMITED,AN1.AX,AN1,0
ANG,AUSTIN ENGINEERING LIMITED,ANG.AX,ANG,0
ANN,ANSELL LIMITED,ANN.AX,ANN,0
ANO,ADVANCE ZINCTEK LIMITED,ANO.AX,ANO,0
ANR,ANATARA LIFESCIENCES LTD,ANR.AX,ANR,0
ANX,ANAX METALS LIMITED,ANX.AX,ANX,0
ANZ,ANZ Group,ANZ.AX,ANZ,0
AOA,AUSMON RESOURCES LIMITED,AOA.AX,AOA,0
AOK,AUSTRALIAN OIL COMPANY LIMITED.,AOK.AX,AOK,0
AON,APOLLO MINERALS LIMITED,AON.AX,AON,0
AOV,AMOTIV LIMITED,AOV.AX,AOV,0
APA,APA GROUP,APA.AX,APA,0
APC,APC MINERALS LIMITED,APC.AX,APC,0
APE,EAGERS AUTOMOTIVE LIMITED,APE.AX,APE,0
APL,ASSOCIATE GLOBAL PARTNERS LIMITED,APL.AX,APL,0
APW,AIMS PROPERTY SECURITIES FUND,APW.AX,APW,0
APX,APPEN LIMITED,APX.AX,APX,0
APZ,ASPEN GROUP,APZ.AX,APZ,0
AQC,AUSTRALIAN PACIFIC COAL LIMITED,AQC.AX,AQC,0
AQD,AUSQUEST LIMITED,AQD.AX,AQD,0
AQN,AQUIRIAN LIMITED,AQN.AX,AQN,0
AQX,ALICE QUEEN LIMITED,AQX.AX,AQX,0
AQZ,ALLIANCE AVIATION SERVICES LIMITED,AQZ.AX,AQZ,0
AR1,AUSTRAL RESOURCES AUSTRALIA LTD,AR1.AX,AR1,0
AR3,AUSTRALIAN RARE EARTHS LIMITED,AR3.AX,AR3,0
AR9,ARCHTIS LIMITED,AR9.AX,AR9,0
ARA,ARIADNE AUSTRALIA LIMITED,ARA.AX,ARA,0
ARB,ARB CORPORATION LIMITED.,ARB.AX,ARB,0
ARC,ARC FUNDS LIMITED,ARC.AX,ARC,0
ARD,ARGENT MINERALS LIMITED,ARD.AX,ARD,0
ARF,ARENA REIT.,ARF.AX,ARF,0
ARG,ARGO INVESTMENTS LIMITED,ARG.AX,ARG,0
ARI,ARIKA RESOURCES LIMITED,ARI.AX,ARI,0
ARL,ARDEA RESOURCES LIMITED,ARL.AX,ARL,0
ARN,ALDORO RESOURCES LIMITED,ARN.AX,ARN,0
ARO,ALTORO METALS LIMITED,ARO.AX,ARO,0
ARR,AMERICAN RARE EARTHS LIMITED,ARR.AX,ARR,0
ART,AIRTASKER LIMITED,ART.AX,ART,0
ARU,ARAFURA RARE EARTHS LTD,ARU.AX,ARU,0
ARV,ARTEMIS RESOURCES LIMITED,ARV.AX,ARV,0
ARX,AROA BIOSURGERY LIMITED,ARX.AX,ARX,0
AS1,ASARA RESOURCES LIMITED,AS1.AX,AS1,0
AS2,ASKARI METALS LIMITED,AS2.AX,AS2,0
ASB,AUSTAL LIMITED,ASB.AX,ASB,0
ASG,AUTOSPORTS GROUP LIMITED.,ASG.AX,ASG,0
ASH,ASHLEY SERVICES GROUP LIMITED,ASH.AX,ASH,0
ASL,ANDEAN SILVER LIMITED,ASL.AX,ASL,0
ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED,ASM.AX,ASM,0
ASN,ANSON RESOURCES LIMITED,ASN.AX,ASN,0
ASP,ASPERMONT LIMITED.,ASP.AX,ASP,0
ASQ,AUSTRALIAN SILICA QUARTZ GROUP LTD,ASQ.AX,ASQ,0
ASV,ASSET VISION CO LTD,ASV.AX,ASV,0
ASX,ASX LIMITED,ASX.AX,ASX,0
AT1,ATOMO DIAGNOSTICS LIMITED,AT1.AX,AT1,0
AT4,AMERICAN TUNGSTEN & ANTIMONY LTD,AT4.AX,AT4,0
ATA,ATTURRA LIMITED,ATA.AX,ATA,0
ATC,ALTECH BATTERIES LTD,ATC.AX,ATC,0
ATG,ARTICORE GROUP LIMITED,ATG.AX,ATG,0
ATH,ALTERITY THERAPEUTICS LIMITED,ATH.AX,ATH,0
ATM,PT ANTAM (PERSERO) TBK,ATM.AX,ATM,0
ATP,ATLAS PEARLS LTD,ATP.AX,ATP,0
ATR,ASTRON LIMITED,ATR.AX,ATR,0
ATS,AUSTRALIS OIL & GAS LIMITED,ATS.AX,ATS,0
ATT,ALTITUDE MINERALS LTD,ATT.AX,ATT,0
ATV,ACTIVEPORT GROUP LTD,ATV.AX,ATV,0
ATX,AMPLIA THERAPEUTICS LIMITED,ATX.AX,ATX,0
AU1,THE AGENCY GROUP AUSTRALIA LTD,AU1.AX,AU1,0
AUA,AUDEARA LIMITED,AUA.AX,AUA,0
AUB,AUB GROUP LIMITED,AUB.AX,AUB,0
AUC,AUSGOLD LIMITED,AUC.AX,AUC,0
AUE,AURUM RESOURCES LIMITED,AUE.AX,AUE,0
AUG,AUGUSTUS MINERALS LIMITED,AUG.AX,AUG,0
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,AUI.AX,AUI,0
AUQ,ALARA RESOURCES LIMITED,AUQ.AX,AUQ,0
AUR,AURIS MINERALS LIMITED,AUR.AX,AUR,0
AUV,AURAVELLE METALS LIMITED,AUV.AX,AUV,0
AUZ,AUSTRALIAN MINES LIMITED,AUZ.AX,AUZ,0
AV1,ADVERITAS LIMITED,AV1.AX,AV1,0
AVA,AVA RISK GROUP LIMITED,AVA.AX,AVA,0
AVD,AVADA GROUP LIMITED,AVD.AX,AVD,0
AVE,AVECHO BIOTECHNOLOGY LIMITED,AVE.AX,AVE,0
AVG,AUSTRALIAN VINTAGE LTD,AVG.AX,AVG,0
AVH,AVITA MEDICAL INC.,AVH.AX,AVH,0
AVL,AUSTRALIAN VANADIUM LIMITED,AVL.AX,AVL,0
AVM,ADVANCE METALS LIMITED,AVM.AX,AVM,0
AVR,ANTERIS TECHNOLOGIES GLOBAL CORP.,AVR.AX,AVR,0
AVW,AVIRA RESOURCES LTD,AVW.AX,AVW,0
AW1,AMERICAN WEST METALS LIMITED,AW1.AX,AW1,0
AWJ,AURIC MINING LIMITED,AWJ.AX,AWJ,0
AX1,ACCENT GROUP LIMITED,AX1.AX,AX1,0
AX8,ACCELERATE RESOURCES LIMITED,AX8.AX,AX8,0
AXE,ARCHER MATERIALS LIMITED,AXE.AX,AXE,0
AXI,AXTEC LIMITED,AXI.AX,AXI,0
AXL,AXEL REE LIMITED,AXL.AX,AXL,0
AXN,ALLIANCE NICKEL LIMITED,AXN.AX,AXN,0
AXP,AXP ENERGY LIMITED,AXP.AX,AXP,0
AYA,ARTRYA LIMITED,AYA.AX,AYA,0
AYM,AUSTRALIA UNITED MINING LIMITED,AYM.AX,AYM,0
AYT,AUSTIN METALS LIMITED,AYT.AX,AYT,0
AZ9,AZZURO RESOURCES PLC,AZ9.AX,AZ9,0
AZI,ALTAMIN LIMITED,AZI.AX,AZI,0
AZJ,AURIZON HOLDINGS LIMITED,AZJ.AX,AZJ,0
AZY,ANTIPA MINERALS LIMITED,AZY.AX,AZY,0
B4P,BEFOREPAY GROUP LIMITED,B4P.AX,B4P,0
BAK,BARKLY RARE EARTHS LIMITED,BAK.AX,BAK,0
BAP,BAPCOR LIMITED,BAP.AX,BAP,0
BAS,BASS OIL LIMITED,BAS.AX,BAS,0
BB1,BLINKLAB LIMITED,BB1.AX,BB1,0
BBC,BNK BANKING CORPORATION LIMITED,BBC.AX,BBC,0
BBL,BRISBANE BRONCOS LIMITED,BBL.AX,BBL,0
BBN,BABY BUNTING GROUP LIMITED,BBN.AX,BBN,0
BBT,BETR ENTERTAINMENT LIMITED,BBT.AX,BBT,0
BC8,BLACK CAT SYNDICATE LIMITED,BC8.AX,BC8,0
BCA,BLACK CANYON LIMITED,BCA.AX,BCA,0
BCC,BEAM COMMUNICATIONS HOLDINGS LIMITED,BCC.AX,BCC,0
BCI,BCI MINERALS LIMITED,BCI.AX,BCI,0
BCK,BROCKMAN MINING LIMITED,BCK.AX,BCK,0
BCM,BRAZILIAN CRITICAL MINERALS LIMITED,BCM.AX,BCM,0
BCN,BEACON MINERALS LIMITED,BCN.AX,BCN,0
BDM,BURGUNDY DIAMOND MINES LIMITED,BDM.AX,BDM,0
BDX,BCAL DIAGNOSTICS LIMITED,BDX.AX,BDX,0
BEL,BENTLEY CAPITAL LIMITED,BEL.AX,BEL,0
BEN,BENDIGO AND ADELAIDE BANK LIMITED,BEN.AX,BEN,0
BEO,BEONIC LTD,BEO.AX,BEO,0
BET,BETMAKERS TECHNOLOGY GROUP LTD,BET.AX,BET,0
BEZ,BESRA GOLD INC.,BEZ.AX,BEZ,0
BFG,BELL FINANCIAL GROUP LIMITED,BFG.AX,BFG,0
BFL,BSP FINANCIAL GROUP LIMITED,BFL.AX,BFL,0
BGA,BEGA CHEESE LIMITED,BGA.AX,BGA,0
BGD,BARTON GOLD HOLDINGS LIMITED,BGD.AX,BGD,0
BGE,BRIDGE SAAS LIMITED,BGE.AX,BGE,0
BGL,BELLEVUE GOLD LIMITED,BGL.AX,BGL,0
BGP,BRISCOE GROUP AUSTRALASIA LIMITED,BGP.AX,BGP,0
BGT,BIO-GENE TECHNOLOGY LTD,BGT.AX,BGT,0
BHD,BENJAMIN HORNIGOLD LIMITED,BHD.AX,BHD,0
BHL,BLACK HORSE MINING LIMITED,BHL.AX,BHL,0
BHM,BROKEN HILL MINES LIMITED,BHM.AX,BHM,0
BHP,BHP Group,BHP.AX,BHP,0
BIM,BINDI METALS LIMITED,BIM.AX,BIM,0
BIO,BIOME AUSTRALIA LIMITED,BIO.AX,BIO,0
BIS,BISALLOY STEEL GROUP LIMITED,BIS.AX,BIS,0
BIT,BIOTRON LIMITED,BIT.AX,BIT,0
BKB,BLACK BEAR MINERALS LIMITED,BKB.AX,BKB,0
BKI,BKI INVESTMENT COMPANY LIMITED,BKI.AX,BKI,0
BKT,BLACK ROCK MINING LIMITED,BKT.AX,BKT,0
BKY,BERKELEY ENERGIA LIMITED,BKY.AX,BKY,0
BLG,BLUGLASS LIMITED,BLG.AX,BLG,0
BLS,BLS PHARMACEUTICALS LIMITED,BLS.AX,BLS,0
BLU,BLUE ENERGY LIMITED.,BLU.AX,BLU,0
BLX,BEACON LIGHTING GROUP LIMITED,BLX.AX,BLX,0
BLZ,BLAZE MINERALS LIMITED,BLZ.AX,BLZ,0
BM1,BALLARD MINING LIMITED,BM1.AX,BM1,0
BM8,BATTERY AGE MINERALS LTD,BM8.AX,BM8,0
BMC,BMC MINERALS LTD.,BMC.AX,BMC,0
BMH,BAUMART HOLDINGS LIMITED,BMH.AX,BMH,0
BML,BOAB METALS LIMITED,BML.AX,BML,0
BMM,BAYAN MINING AND MINERALS LIMITED,BMM.AX,BMM,0
BMN,BANNERMAN ENERGY LTD,BMN.AX,BMN,0
BMR,BALLYMORE RESOURCES LIMITED,BMR.AX,BMR,0
BMT,BEAMTREE HOLDINGS LIMITED,BMT.AX,BMT,0
BNL,BLUE STAR HELIUM LIMITED,BNL.AX,BNL,0
BNR,BULLETIN RESOURCES LIMITED,BNR.AX,BNR,0
BNZ,BENZ MINING CORP.,BNZ.AX,BNZ,0
BOA,BOA RESOURCES LTD,BOA.AX,BOA,0
BOC,BOUGAINVILLE COPPER LIMITED,BOC.AX,BOC,0
BOE,BOSS ENERGY LTD,BOE.AX,BOE,0
BOL,BOOM LOGISTICS LIMITED,BOL.AX,BOL,0
BOQ,BANK OF QUEENSLAND LIMITED.,BOQ.AX,BOQ,0
BOT,BOTANIX PHARMACEUTICALS LTD,BOT.AX,BOT,0
BP8,BPH GLOBAL LTD,BP8.AX,BP8,0
BPG,BLACK PEARL GROUP LIMITED,BPG.AX,BPG,0
BPH,BPH ENERGY LTD,BPH.AX,BPH,0
BPM,BPM MINERALS LIMITED,BPM.AX,BPM,0
BPP,BABYLON PUMP & POWER LIMITED,BPP.AX,BPP,0
BPT,BEACH ENERGY LIMITED,BPT.AX,BPT,0
BRE,BRAZILIAN RARE EARTHS LIMITED,BRE.AX,BRE,0
BRG,BREVILLE GROUP LIMITED,BRG.AX,BRG,0
BRI,BIG RIVER INDUSTRIES LIMITED,BRI.AX,BRI,0
BRK,BROOKSIDE ENERGY LIMITED,BRK.AX,BRK,0
BRL,BATHURST RESOURCES LIMITED.,BRL.AX,BRL,0
BRN,BRAINCHIP HOLDINGS LTD,BRN.AX,BRN,0
BRU,BURU ENERGY LIMITED,BRU.AX,BRU,0
BRY,BARYS RESOURCES LIMITED,BRY.AX,BRY,0
BSA,BSA LIMITED,BSA.AX,BSA,0
BSL,BLUESCOPE STEEL LIMITED,BSL.AX,BSL,0
BSN,BASIN ENERGY LIMITED,BSN.AX,BSN,0
BSR,BISON RESOURCES LIMITED,BSR.AX,BSR,0
BSX,BLACKSTONE MINERALS LIMITED,BSX.AX,BSX,0
BTC,BTC HEALTH LTD,BTC.AX,BTC,0
BTE,BOTALA ENERGY LTD,BTE.AX,BTE,0
BTI,BAILADOR TECHNOLOGY INVESTMENTS LIMITED,BTI.AX,BTI,0
BTL,BEETALOO ENERGY AUSTRALIA LIMITED,BTL.AX,BTL,0
BTM,BREAKTHROUGH MINERALS LIMITED,BTM.AX,BTM,0
BTN,BUTN LIMITED,BTN.AX,BTN,0
BTR,BRIGHTSTAR RESOURCES LIMITED,BTR.AX,BTR,0
BUB,BUBS AUSTRALIA LIMITED,BUB.AX,BUB,0
BUR,BURLEY MINERALS LTD,BUR.AX,BUR,0
BUS,BUBALUS RESOURCES LIMITED,BUS.AX,BUS,0
BUX,BUXTON RESOURCES LIMITED,BUX.AX,BUX,0
BUY,BOUNTY OIL & GAS NL,BUY.AX,BUY,0
BVR,BELLAVISTA RESOURCES LTD,BVR.AX,BVR,0
BVS,BRAVURA SOLUTIONS LIMITED.,BVS.AX,BVS,0
BWF,BLACKWALL LIMITED,BWF.AX,BWF,0
BWN,BHAGWAN MARINE LIMITED,BWN.AX,BWN,0
BWP,BWP GROUP,BWP.AX,BWP,0
BXB,BRAMBLES LIMITED,BXB.AX,BXB,0
C1X,COSMOS EXPLORATION LIMITED,C1X.AX,C1X,0
C29,C29 METALS LIMITED,C29.AX,C29,0
C79,CHRYSOS CORPORATION LIMITED,C79.AX,C79,0
C7A,CLARA RESOURCES AUSTRALIA LTD,C7A.AX,C7A,0
CAA,CAPRAL LIMITED,CAA.AX,CAA,0
CAE,CANNINDAH RESOURCES LIMITED,CAE.AX,CAE,0
CAF,CENTREPOINT ALLIANCE LIMITED,CAF.AX,CAF,0
CAM,CLIME CAPITAL LIMITED,CAM.AX,CAM,0
CAN,CANN GROUP LIMITED,CAN.AX,CAN,0
CAQ,CAQ HOLDINGS LIMITED,CAQ.AX,CAQ,0
CAR,CAR GROUP LIMITED,CAR.AX,CAR,0
CAT,CATAPULT SPORTS LTD,CAT.AX,CAT,0
