provider_symbol,symbol,sector,industry,source
COMSYN.NS,COMSYN,Consumer Cyclical,Packaging & Containers,
CONCOR.NS,CONCOR,Industrials,Railroads,
CONCORDBIO.NS,CONCORDBIO,Healthcare,Biotechnology,
CONFIPET.NS,CONFIPET,Energy,Oil & Gas Refining & Marketing,
CONSOFINVT.NS,CONSOFINVT,Financial Services,Capital Markets,
CONTROLPR.NS,CONTROLPR,Industrials,Business Equipment & Supplies,
CORALFINAC.NS,CORALFINAC,Real Estate,Real Estate Services,
CORDSCABLE.NS,CORDSCABLE,Industrials,Electrical Equipment & Parts,
COROMANDEL.NS,COROMANDEL,Basic Materials,Agricultural Inputs,
CORONA.NS,CORONA,Healthcare,Drug Manufacturers—General,
COSMOFIRST.NS,COSMOFIRST,Consumer Cyclical,Packaging & Containers,
COUNCODOS.NS,COUNCODOS,Real Estate,Real Estate—Development,
CPCAP.NS,CPCAP,Financial Services,Credit Services,
CPPLUS.NS,CPPLUS,Industrials,Building Products & Equipment,
CRAFTSMAN.NS,CRAFTSMAN,Consumer Cyclical,Auto Parts,
CRAMC.NS,CRAMC,Financial Services,Asset Management,
CREATIVEYE.NS,CREATIVEYE,Communication Services,Entertainment,
CREDITACC.NS,CREDITACC,Financial Services,Credit Services,
CREST.NS,CREST,Financial Services,Financial Conglomerates,
CRISIL.NS,CRISIL,Financial Services,Financial Data & Stock Exchanges,
CRIZAC.NS,CRIZAC,Consumer Defensive,Education & Training Services,
CROMPTON.NS,CROMPTON,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
CROWN.NS,CROWN,Industrials,Rental & Leasing Services,
CSBBANK.NS,CSBBANK,Financial Services,Banks—Regional,
CSLFINANCE.NS,CSLFINANCE,Financial Services,Credit Services,
CTE.NS,CTE,Technology,Information Technology Services,
CUB.NS,CUB,Financial Services,Banks—Regional,
CUBEXTUB.NS,CUBEXTUB,Basic Materials,Copper,
CUMMINSIND.NS,CUMMINSIND,Industrials,Specialty Industrial Machinery,
CUPID.NS,CUPID,Consumer Defensive,Household & Personal Products,
CURAA.NS,CURAA,Technology,Software—Application,
CYBERMEDIA.NS,CYBERMEDIA,Communication Services,Publishing,
CYBERTECH.NS,CYBERTECH,Technology,Information Technology Services,
CYIENT.NS,CYIENT,Industrials,Conglomerates,
CYIENTDLM.NS,CYIENTDLM,Industrials,Aerospace & Defense,
DABUR.NS,DABUR,Consumer Defensive,Household & Personal Products,
DALBHARAT.NS,DALBHARAT,Basic Materials,Building Materials,
DALMIASUG.NS,DALMIASUG,Consumer Defensive,Confectioners,
DAMCAPITAL.NS,DAMCAPITAL,Financial Services,Capital Markets,
DAMODARIND.NS,DAMODARIND,Consumer Cyclical,Textile Manufacturing,
DANGEE.NS,DANGEE,Consumer Cyclical,Restaurants,
DATAMATICS.NS,DATAMATICS,Technology,Information Technology Services,
DATAPATTNS.NS,DATAPATTNS,Industrials,Aerospace & Defense,
DAVANGERE.NS,DAVANGERE,Consumer Defensive,Confectioners,
DBCORP.NS,DBCORP,Communication Services,Publishing,
DBEIL.NS,DBEIL,Industrials,Engineering & Construction,
DBL.NS,DBL,Industrials,Engineering & Construction,
DBOL.NS,DBOL,Consumer Defensive,Farm Products,
DBREALTY.NS,DBREALTY,Real Estate,Real Estate—Development,
DBSTOCKBRO.NS,DBSTOCKBRO,Financial Services,Capital Markets,
DCAL.NS,DCAL,Healthcare,Biotechnology,
DCBBANK.NS,DCBBANK,Financial Services,Banks—Regional,
DCI.NS,DCI,Technology,Electronics & Computer Distribution,
DCM.NS,DCM,Industrials,Metal Fabrication,
DCMFINSERV.NS,DCMFINSERV,Financial Services,Credit Services,
DCMNVL.NS,DCMNVL,Consumer Cyclical,Textile Manufacturing,
DCMSHRIRAM.NS,DCMSHRIRAM,Industrials,Conglomerates,
DCMSIL.NS,DCMSIL,Industrials,Industrial Distribution,
DCMSRIND.NS,DCMSRIND,Consumer Defensive,Confectioners,
DCW.NS,DCW,Basic Materials,Chemicals,
DCXINDIA.NS,DCXINDIA,Industrials,Aerospace & Defense,
DDEVPLSTIK.NS,DDEVPLSTIK,Basic Materials,Specialty Chemicals,
DECCANCE.NS,DECCANCE,Basic Materials,Building Materials,
DEEDEV.NS,DEEDEV,Industrials,Metal Fabrication,
DEEPAKFERT.NS,DEEPAKFERT,Basic Materials,Chemicals,
DEEPAKNTR.NS,DEEPAKNTR,Basic Materials,Chemicals,
