provider_symbol,symbol,sector,industry,source
FCCL.KA,FCCL,Cement,,
FCEL.KA,FCEL,INV. BANKS / INV. COS. / SECURITIES COS.,,
FCEPL.KA,FCEPL,Food & Personal Care Products,,
FCIBL.KA,FCIBL,Inv. Banks / Inv. Cos. / Securities Cos.,,
FCL.KA,FCL,Cable & Electrical Goods,,
FCSC.KA,FCSC,Inv. Banks / Inv. Cos. / Securities Cos.,,
FDPL.KA,FDPL,Inv. Banks / Inv. Cos. / Securities Cos.,,
FECM.KA,FECM,Modarabas,,
FECTC.KA,FECTC,Cement,,
FEROZ.KA,FEROZ,Pharmaceuticals,,
FFC.KA,FFC,Fertilizer,Fertilizers,
FFL.KA,FFL,Food & Personal Care Products,,
FFLM.KA,FFLM,Modarabas,,
FHAM.KA,FHAM,Modarabas,,
FIBLM.KA,FIBLM,Modarabas,,
FIMM.KA,FIMM,Modarabas,,
FLYNG.KA,FLYNG,Cement,,
FML.KA,FML,Textile Composite,,
FNEL.KA,FNEL,Inv. Banks / Inv. Cos. / Securities Cos.,,
FPJM.KA,FPJM,Modarabas,,
FPRM.KA,FPRM,Modarabas,,
FRCL.KA,FRCL,Glass & Ceramics,,
FRSM.KA,FRSM,Sugar & Allied Industries,,
FSWL.KA,FSWL,TEXTILE COMPOSITE,,
FTMM.KA,FTMM,Modarabas,,
FTSM.KA,FTSM,Modarabas,,
FZCM.KA,FZCM,Textile Composite,,
GADT.KA,GADT,Textile Spinning,,
GAL.KA,GAL,Automobile Assembler,,
GAMON.KA,GAMON,MISCELLANEOUS,,
GATI.KA,GATI,Synthetic & Rayon,,
GATM.KA,GATM,Textile Composite,,
GDL.KA,GDL,Food & Personal Care Products,,
GEMMEL.KA,GEMMEL,POWER GENERATION & DISTRIBUTION,,
GEMNETS.KA,GEMNETS,TECHNOLOGY & COMMUNICATION,,
GEMPAPL.KA,GEMPAPL,"Paper, Board & Packaging",,
GFIL.KA,GFIL,Textile Composite,,
GGGL.KA,GGGL,Glass & Ceramics,,
GGL.KA,GGL,Chemical,,
GHGL.KA,GHGL,Glass & Ceramics,,
GHNI.KA,GHNI,Automobile Assembler,,
GIL.KA,GIL,FOOD & PERSONAL CARE PRODUCTS,,
GLAXO.KA,GLAXO,Pharmaceuticals,,
GOC.KA,GOC,Miscellaneous,,
GRR.KA,GRR,Real Estate Investment Trust,,
GRYL.KA,GRYL,Leasing Companies,,
GSPM.KA,GSPM,TEXTILE SPINNING,,
GTYR.KA,GTYR,Automobile Parts & Accessories,,
GUSM.KA,GUSM,TEXTILE SPINNING,,
GVGL.KA,GVGL,Glass & Ceramics,,
GWLC.KA,GWLC,Cement,,
HABSM.KA,HABSM,Sugar & Allied Industries,,
HAEL.KA,HAEL,Textile Composite,,
HAFL.KA,HAFL,Textile Composite,,
HALEON.KA,HALEON,Pharmaceuticals,,
HASCOL.KA,HASCOL,OIL & GAS MARKETING COMPANIES,,
HBL.KA,HBL,Commercial Banks,,
HCAR.KA,HCAR,Automobile Assembler,,
HICL.KA,HICL,Insurance,,
HINO.KA,HINO,AUTOMOBILE ASSEMBLER,,
HINOON.KA,HINOON,Pharmaceuticals,,
HIRAT.KA,HIRAT,TEXTILE SPINNING,,
HMB.KA,HMB,Commercial Banks,,
HPL.KA,HPL,Pharmaceuticals,,
HRPL.KA,HRPL,Sugar & Allied Industries,,
HSPI.KA,HSPI,ENGINEERING,,
HTL.KA,HTL,Oil & Gas Marketing Companies,,
HUBC.KA,HUBC,Power Generation & Distribution,Independent Power Producer,
HUMNL.KA,HUMNL,Technology & Communication,,
HUSI.KA,HUSI,Property,,
HWQS.KA,HWQS,SUGAR & ALLIED INDUSTRIES,,
IBFL.KA,IBFL,Synthetic & Rayon,,
IBLHL.KA,IBLHL,Pharmaceuticals,,
ICCI.KA,ICCI,Textile Weaving,,
ICIBL.KA,ICIBL,Inv. Banks / Inv. Cos. / Securities Cos.,,
ICL.KA,ICL,Chemical,,
IDRT.KA,IDRT,Textile Spinning,,
IDSM.KA,IDSM,TEXTILE SPINNING,,
IDYM.KA,IDYM,Textile Spinning,,
IGIL.KA,IGIL,Insurance,,
ILP.KA,ILP,Textile Composite,,
IMAGE.KA,IMAGE,Apparel,,
IML.KA,IML,INV. BANKS / INV. COS. / SECURITIES COS.,,
IMS.KA,IMS,Inv. Banks / Inv. Cos. / Securities Cos.,,
INDU.KA,INDU,Automobile Assembler,,
INIL.KA,INIL,Engineering,,
INKL.KA,INKL,Apparel,,
IPAK.KA,IPAK,"PAPER, BOARD & PACKAGING",,
IREIT.KA,IREIT,Real Estate Investment Trust,,
ISIL.KA,ISIL,Food & Personal Care Products,,
ISL.KA,ISL,Engineering,,
ITTEFAQ.KA,ITTEFAQ,Engineering,,
JATM.KA,JATM,Textile Spinning,,
JDMT.KA,JDMT,Textile Spinning,,
JDWS.KA,JDWS,Sugar & Allied Industries,,
JGICL.KA,JGICL,Insurance,,
JKSM.KA,JKSM,Textile Spinning,,
JLICL.KA,JLICL,Insurance,,
JSBL.KA,JSBL,Commercial Banks,,
JSCL.KA,JSCL,Inv. Banks / Inv. Cos. / Securities Cos.,,
JSGCL.KA,JSGCL,Inv. Banks / Inv. Cos. / Securities Cos.,,
JSIL.KA,JSIL,Inv. Banks / Inv. Cos. / Securities Cos.,,
JSML.KA,JSML,Sugar & Allied Industries,,
JSRR.KA,JSRR,Real Estate Investment Trust,,
JUBS.KA,JUBS,TEXTILE COMPOSITE,,
JVDC.KA,JVDC,Property,,
KAPCO.KA,KAPCO,Power Generation & Distribution,,
KCL.KA,KCL,GLASS & CERAMICS,,
KEL.KA,KEL,Power Generation & Distribution,,
KHTC.KA,KHTC,Tobacco,,
KML.KA,KML,Textile Composite,,
KOHC.KA,KOHC,Cement,,
KOHE.KA,KOHE,Power Generation & Distribution,,
KOHP.KA,KOHP,Power Generation & Distribution,,
KOHTM.KA,KOHTM,Textile Spinning,,
KOIL.KA,KOIL,Textile Composite,,
KOSM.KA,KOSM,Textile Spinning,,
KPUS.KA,KPUS,Sugar & Allied Industries,,
KSBP.KA,KSBP,Engineering,,
KSTM.KA,KSTM,TEXTILE SPINNING,,
KTML.KA,KTML,Textile Composite,,
LCI.KA,LCI,Chemical,,
LEUL.KA,LEUL,Leather & Tanneries,,
LIVEN.KA,LIVEN,Pharmaceuticals,,
LOADS.KA,LOADS,Automobile Parts & Accessories,,
LOTCHEM.KA,LOTCHEM,CHEMICAL,,
LPGL.KA,LPGL,Chemical,,
LPL.KA,LPL,Power Generation & Distribution,,
LUCK.KA,LUCK,Cement,Cement,
MACFL.KA,MACFL,"Paper, Board & Packaging",,
MACTER.KA,MACTER,Pharmaceuticals,,
MARI.KA,MARI,Oil & Gas Exploration Companies,,
MCB.KA,MCB,Commercial Banks,Banks,
MCBIM.KA,MCBIM,Inv. Banks / Inv. Cos. / Securities Cos.,,
MDTL.KA,MDTL,Technology & Communication,,
MEBL.KA,MEBL,Commercial Banks,Islamic Banking,
MEHT.KA,MEHT,Textile Composite,,
MERIT.KA,MERIT,"Paper, Board & Packaging",,
MFFL.KA,MFFL,Food & Personal Care Products,,
MFL.KA,MFL,Food & Personal Care Products,,
MIRKS.KA,MIRKS,Sugar & Allied Industries,,
MLCF.KA,MLCF,Cement,,
MQTM.KA,MQTM,Textile Spinning,,
MRNS.KA,MRNS,Sugar & Allied Industries,,
MSCL.KA,MSCL,Engineering,,
MSOT.KA,MSOT,Apparel,,
MTL.KA,MTL,Automobile Assembler,,
MUGHAL.KA,MUGHAL,Engineering,,
MUREB.KA,MUREB,Food & Personal Care Products,,
NAGC.KA,NAGC,Textile Spinning,,
NATF.KA,NATF,Food & Personal Care Products,,
NBP.KA,NBP,Commercial Banks,,
NCL.KA,NCL,Textile Composite,,
