provider_symbol,symbol,sector,industry,source
APA.AX,APA,Utilities,Utilities—Regulated Gas,
APE.AX,APE,Consumer Cyclical,Auto & Truck Dealerships,
APL.AX,APL,Financial Services,Asset Management,
APW.AX,APW,Real Estate,REIT—Diversified,
APX.AX,APX,Technology,Information Technology Services,
APZ.AX,APZ,Real Estate,Real Estate—Diversified,
AQC.AX,AQC,Basic Materials,,
AQD.AX,AQD,Basic Materials,Other Industrial Metals & Mining,
AQN.AX,AQN,Industrials,Rental & Leasing Services,
AQX.AX,AQX,Basic Materials,Other Industrial Metals & Mining,
AQZ.AX,AQZ,Industrials,Airports & Air Services,
AR1.AX,AR1,Basic Materials,Copper,
AR9.AX,AR9,Technology,Software—Infrastructure,
ARA.AX,ARA,Financial Services,Asset Management,
ARB.AX,ARB,Consumer Cyclical,Auto Parts,
ARC.AX,ARC,Financial Services,Asset Management,
ARD.AX,ARD,Basic Materials,Other Precious Metals & Mining,
ARF.AX,ARF,Real Estate,REIT—Specialty,
ARG.AX,ARG,Financial Services,Asset Management,
ARI.AX,ARI,Basic Materials,Gold,
ARL.AX,ARL,Basic Materials,Other Industrial Metals & Mining,
ARN.AX,ARN,Basic Materials,Other Industrial Metals & Mining,
ARO.AX,ARO,Basic Materials,Other Industrial Metals & Mining,
ARR.AX,ARR,Basic Materials,Other Industrial Metals & Mining,
ART.AX,ART,Communication Services,Internet Content & Information,
ARV.AX,ARV,Basic Materials,Other Industrial Metals & Mining,
ARX.AX,ARX,Healthcare,Medical Devices,
AS2.AX,AS2,Basic Materials,Other Precious Metals & Mining,
ASB.AX,ASB,Industrials,Aerospace & Defense,
ASG.AX,ASG,Consumer Cyclical,Auto & Truck Dealerships,
ASH.AX,ASH,Industrials,Staffing & Employment Services,
ASL.AX,ASL,Basic Materials,Gold,
ASM.AX,ASM,Basic Materials,Other Industrial Metals & Mining,
ASP.AX,ASP,Communication Services,Publishing,
ASQ.AX,ASQ,Basic Materials,Other Industrial Metals & Mining,
ASV.AX,ASV,Technology,Information Technology Services,
ASX.AX,ASX,Financial Services,Financial Data & Stock Exchanges,
AT1.AX,AT1,Healthcare,Medical Devices,
AT4.AX,AT4,Basic Materials,Other Industrial Metals & Mining,
ATA.AX,ATA,Technology,Information Technology Services,
ATC.AX,ATC,Basic Materials,Specialty Chemicals,
ATG.AX,ATG,Consumer Cyclical,Internet Retail,
ATH.AX,ATH,Healthcare,Biotechnology,
ATP.AX,ATP,Consumer Cyclical,Luxury Goods,
ATR.AX,ATR,Basic Materials,Other Industrial Metals & Mining,
ATS.AX,ATS,Energy,Oil & Gas E&P,
ATT.AX,ATT,Basic Materials,Other Precious Metals & Mining,
ATV.AX,ATV,Technology,Information Technology Services,
ATX.AX,ATX,Healthcare,Biotechnology,
AU1.AX,AU1,Real Estate,Real Estate Services,
AUA.AX,AUA,Technology,Consumer Electronics,
AUB.AX,AUB,Financial Services,Insurance Brokers,
AUC.AX,AUC,Basic Materials,Gold,
AUE.AX,AUE,Basic Materials,Other Industrial Metals & Mining,
AUI.AX,AUI,Financial Services,Asset Management,
AUQ.AX,AUQ,Basic Materials,Other Industrial Metals & Mining,
AUR.AX,AUR,Basic Materials,Other Industrial Metals & Mining,
AUV.AX,AUV,Basic Materials,Gold,
AUZ.AX,AUZ,Basic Materials,Other Industrial Metals & Mining,
AV1.AX,AV1,Technology,Software—Infrastructure,
AVA.AX,AVA,Industrials,Security & Protection Services,
AVD.AX,AVD,Industrials,Infrastructure Operations,
AVE.AX,AVE,Healthcare,Biotechnology,
AVG.AX,AVG,Consumer Defensive,Beverages—Wineries & Distilleries,
AVL.AX,AVL,Basic Materials,Other Industrial Metals & Mining,
AVM.AX,AVM,Basic Materials,Coking Coal,
AVR.AX,AVR,Healthcare,Medical Devices,
AVW.AX,AVW,Basic Materials,Other Precious Metals & Mining,
AWJ.AX,AWJ,Basic Materials,Gold,
AX1.AX,AX1,Consumer Cyclical,Apparel Retail,
AX8.AX,AX8,Basic Materials,Other Industrial Metals & Mining,
AXE.AX,AXE,Technology,Semiconductors,
AXI.AX,AXI,Industrials,Specialty Industrial Machinery,
AXN.AX,AXN,Basic Materials,Other Industrial Metals & Mining,
AXP.AX,AXP,Energy,Oil & Gas E&P,
AYA.AX,AYA,Healthcare,Health Information Services,
AYM.AX,AYM,Basic Materials,Gold,
AYT.AX,AYT,Basic Materials,Other Industrial Metals & Mining,
AZ9.AX,AZ9,Basic Materials,Other Industrial Metals & Mining,
AZI.AX,AZI,Basic Materials,Other Industrial Metals & Mining,
AZJ.AX,AZJ,Industrials,Railroads,
AZY.AX,AZY,Basic Materials,Other Precious Metals & Mining,
B4P.AX,B4P,Technology,Software—Infrastructure,
BAP.AX,BAP,Consumer Cyclical,Specialty Retail,
BAS.AX,BAS,Energy,Oil & Gas E&P,
BB1.AX,BB1,Healthcare,Health Information Services,
BBC.AX,BBC,Financial Services,Banks—Regional,
BBL.AX,BBL,Communication Services,Entertainment,
BBN.AX,BBN,Consumer Cyclical,Specialty Retail,
BBT.AX,BBT,Consumer Cyclical,Gambling,
BC8.AX,BC8,Basic Materials,Gold,
BCA.AX,BCA,Basic Materials,Other Industrial Metals & Mining,
BCC.AX,BCC,Technology,Communication Equipment,
BCI.AX,BCI,Basic Materials,Steel,
BCM.AX,BCM,Basic Materials,Gold,
BCN.AX,BCN,Basic Materials,Gold,
BDM.AX,BDM,Basic Materials,,
BDX.AX,BDX,Healthcare,Diagnostics & Research,
BEL.AX,BEL,Financial Services,Asset Management,
BEN.AX,BEN,Financial Services,Banks—Regional,
BEO.AX,BEO,Technology,Software—Infrastructure,
BET.AX,BET,Consumer Cyclical,Gambling,
BEZ.AX,BEZ,Basic Materials,Gold,
BFG.AX,BFG,Financial Services,Capital Markets,
BFL.AX,BFL,Financial Services,Banks—Regional,
BGA.AX,BGA,Consumer Defensive,Packaged Foods,
BGD.AX,BGD,Basic Materials,Gold,
BGE.AX,BGE,Technology,Software—Application,
BGL.AX,BGL,Basic Materials,Gold,
BGT.AX,BGT,Healthcare,Biotechnology,
BHD.AX,BHD,Financial Services,Asset Management,
BHL.AX,BHL,Basic Materials,Gold,
BHM.AX,BHM,Basic Materials,Other Precious Metals & Mining,
BHP.AX,BHP,Basic Materials,,
BIM.AX,BIM,Basic Materials,Other Precious Metals & Mining,
BIO.AX,BIO,Consumer Defensive,Packaged Foods,
BIS.AX,BIS,Basic Materials,Steel,
BIT.AX,BIT,Healthcare,Biotechnology,
BKI.AX,BKI,Financial Services,Asset Management,
BKT.AX,BKT,Basic Materials,Other Industrial Metals & Mining,
BLG.AX,BLG,Technology,Semiconductor Equipment & Materials,
BLS.AX,BLS,Healthcare,Biotechnology,
BLX.AX,BLX,Consumer Cyclical,Specialty Retail,
BLZ.AX,BLZ,Basic Materials,Other Industrial Metals & Mining,
BM8.AX,BM8,Basic Materials,Other Industrial Metals & Mining,
BMH.AX,BMH,Basic Materials,Building Materials,
BML.AX,BML,Basic Materials,Other Industrial Metals & Mining,
BMM.AX,BMM,Basic Materials,Other Industrial Metals & Mining,
BMN.AX,BMN,Energy,Uranium,
BMR.AX,BMR,Basic Materials,Other Precious Metals & Mining,
BMT.AX,BMT,Healthcare,Health Information Services,
BNL.AX,BNL,Energy,Oil & Gas E&P,
BNR.AX,BNR,Basic Materials,Gold,
BOA.AX,BOA,Basic Materials,Other Industrial Metals & Mining,
BOC.AX,BOC,Basic Materials,Other Precious Metals & Mining,
BOE.AX,BOE,Energy,Uranium,
BOL.AX,BOL,Industrials,Specialty Business Services,
BOQ.AX,BOQ,Financial Services,Banks—Regional,
BOT.AX,BOT,Healthcare,Biotechnology,
