provider_symbol,symbol,name,region,market_code,sector,industry
TIMESCAN.NS,TIMESCAN,Timescan Logistics (India) Limited,india,NSE,,
TIRUPATI.NS,TIRUPATI,Shree Tirupati Balajee FIBC Limited,india,NSE,,
TRANSTEEL.NS,TRANSTEEL,Transteel Seating Technologies Limited,india,NSE,,
TRANSWIND.NS,TRANSWIND,Transwind Infrastructures Limited,india,NSE,,
TRIDHYA.NS,TRIDHYA,Tridhya Tech Limited,india,NSE,,
TRUST.NS,TRUST,Trust Fintech Limited,india,NSE,,
TUNWAL.NS,TUNWAL,Tunwal E-Motors Limited,india,NSE,,
UCL.NS,UCL,Ushanti Colour Chem Limited,india,NSE,,
UMA.NS,UMA,Uma Converter Limited,india,NSE,,
UNIHEALTH.NS,UNIHEALTH,Unihealth Hospitals Limited,india,NSE,,
URBAN.NS,URBAN,Urban Enviro Waste Management Limited,india,NSE,,
USASEEDS.NS,USASEEDS,Upsurge Seeds Of Agriculture Limited,india,NSE,,
UWCSL.NS,UWCSL,Ultra Wiring Connectivity System Limited,india,NSE,,
VEEKAYEM.NS,VEEKAYEM,Veekayem Fashion and Apparels Limited,india,NSE,,
VELJAN.NS,VELJAN,Veljan Denison Limited,india,NSE,,
VELS.NS,VELS,VELS Film International Limited,india,NSE,,
VERA.NS,VERA,Vera Synthetic Limited,india,NSE,,
VERITAAS.NS,VERITAAS,Veritaas Advertising Limited,india,NSE,,
VERTEXPLUS.NS,VERTEXPLUS,Vertexplus Technologies Limited,india,NSE,,
VIAZ.NS,VIAZ,Viaz Tyres Limited,india,NSE,,
VILAS.NS,VILAS,Vilas Transcore Limited,india,NSE,,
VILINBIO.NS,VILINBIO,Vilin Bio Med Limited,india,NSE,,
VINSYS.NS,VINSYS,Vinsys IT Services India Limited,india,NSE,,
VINYAS.NS,VINYAS,Vinyas Innovative Technologies Limited,india,NSE,,
VISAMAN.NS,VISAMAN,Visaman Global Sales Limited,india,NSE,,
VISHNUINFR.NS,VISHNUINFR,Vishnusurya Projects and Infra Limited,india,NSE,,
VISHWAS.NS,VISHWAS,Vishwas Agri Seeds Limited,india,NSE,,
VIVO.NS,VIVO,Vivo Collaboration Solutions Limited,india,NSE,,
VMARCIND.NS,VMARCIND,V-MARC India Limited,india,NSE,,
VR.NS,VR,V R Infraspace Limited,india,NSE,,
VSCL.NS,VSCL,Vadivarhe Speciality Chemicals Limited,india,NSE,,
WALPAR.NS,WALPAR,Walpar Nutritions Limited,india,NSE,,
WELSPLSOL.NS,WELSPLSOL,Welspun Specialty Solutions Limited,india,NSE,,
WINSOL.NS,WINSOL,Winsol Engineers Limited,india,NSE,,
WOMANCART.NS,WOMANCART,Womancart Limited,india,NSE,,
WPIL.NS,WPIL,WPIL Limited,india,NSE,,
WTICAB.NS,WTICAB,Wise Travel India Limited,india,NSE,,
YASHOPTICS.NS,YASHOPTICS,Yash Optics & Lens Limited,india,NSE,,
YCCL.NS,YCCL,Yasons Chemex Care Limited,india,NSE,,
YUDIZ.NS,YUDIZ,Yudiz Solutions Limited,india,NSE,,
ZEAL.NS,ZEAL,Zeal Global Services Limited,india,NSE,,
ZENITHDRUG.NS,ZENITHDRUG,Zenith Drugs Limited,india,NSE,,
ZODIAC.NS,ZODIAC,Zodiac Energy Limited,india,NSE,,
ZSARACOM.NS,ZSARACOM,Saraswati Commercial India Limited,india,NSE,,
ZTECH.NS,ZTECH,Z-Tech (India) Limited,india,NSE,,
786.KA,786,786 Investment Limited,psx,PSX,,
AKDHL.KA,AKDHL,AKD Hospitality Limited,psx,PSX,,
AKGL.KA,AKGL,Al-Khair Gadoon Limited,psx,PSX,,
ARCTM.KA,ARCTM,Arctic Textile Mills Limited,psx,PSX,,
ARPAK.KA,ARPAK,Arpak International Investments Ltd.,psx,PSX,,
ASIC.KA,ASIC,Asia Insurance Company Limited,psx,PSX,,
BELA.KA,BELA,Bela Automotives Ltd.,psx,PSX,,
DIIL.KA,DIIL,Diamond Industries Limited,psx,PSX,,
ECOP.KA,ECOP,Ecopack Limited,psx,PSX,,
FIL.KA,FIL,Fateh Industries Ltd,psx,PSX,,
GAMON.KA,GAMON,Gammon Pakistan Limited,psx,PSX,,
GCIL.KA,GCIL,Ghani Chemical Industries Limited,psx,PSX,,
GOC.KA,GOC,GOC (Pak) Limited.,psx,PSX,,
IGIHL.KA,IGIHL,IGI Holdings Limited,psx,PSX,,
KHYT.KA,KHYT,Khyber Textile Mills Limited,psx,PSX,,
LSECL.KA,LSECL,LSE Capital Limited,psx,PSX,,
LSEFSL.KA,LSEFSL,LSE Financial Services Ltd.,psx,PSX,,
MWMP.KA,MWMP,Mandviwalla Mauser Plastic Industries Limited,psx,PSX,,
NATM.KA,NATM,Nadeem Textile Mills Limited,psx,PSX,,
NCML.KA,NCML,Nazir Cotton Mills Limited,psx,PSX,,
OBOY.KA,OBOY,Oilboy Energy Limited,psx,PSX,,
OML.KA,OML,Olympia Mills Limited,psx,PSX,,
PABC.KA,PABC,Pakistan Aluminium Beverage Cans Limited,psx,PSX,,
PHDL.KA,PHDL,Pakistan Hotels Developers Limited,psx,PSX,,
PIAHCLB.KA,PIAHCLB,PIA Holding Company Limited,psx,PSX,,
PIM.KA,PIM,Popular Islamic Modaraba,psx,PSX,,
PSEL.KA,PSEL,Pakistan Services Limited,psx,PSX,,
SASML.KA,SASML,Sindh Abadgar's Sugar Mills Limited,psx,PSX,,
SHCM.KA,SHCM,Shadman Cotton Mills Limited,psx,PSX,,
SHFA.KA,SHFA,Shifa International Hospitals Limited,psx,PSX,,
SSOM.KA,SSOM,S.S. Oil Mills Limited,psx,PSX,,
STPL.KA,STPL,Siddiqsons Tin Plate Limited,psx,PSX,,
SUHJ.KA,SUHJ,Suhail Jute Mills Limited,psx,PSX,,
TRIPF.KA,TRIPF,Tri-Pack Films Limited,psx,PSX,,
UBDL.KA,UBDL,United Brands Limited,psx,PSX,,
UDLI.KA,UDLI,UDL International Limited,psx,PSX,,
UDPL.KA,UDPL,United Distributors Pakistan Limited,psx,PSX,,
WAVESAPP.KA,WAVESAPP,Waves Home Appliances Limited,psx,PSX,,
YOUW.KA,YOUW,Yousaf Weaving Mills Limited,psx,PSX,,
ABXL,ABXL,"Abacus Global Management, Inc.",us,NYSE,,
ADACU,ADACU,American Drive Acquisition Co,us,NASDAQ,,
ADAMG,ADAMG,"ADAMAS TRUST, INC.",us,NASDAQ,,
ADAMH,ADAMH,"ADAMAS TRUST, INC.",us,NASDAQ,,
ADAMI,ADAMI,"ADAMAS TRUST, INC.",us,NASDAQ,,
ADAMO,ADAMO,"ADAMAS TRUST, INC.",us,NASDAQ,,
AEFC,AEFC,AEGON LTD.,us,NYSE,,
AFGB,AFGB,AMERICAN FINANCIAL GROUP INC,us,NYSE,,
AFGC,AFGC,AMERICAN FINANCIAL GROUP INC,us,NYSE,,
AFGD,AFGD,AMERICAN FINANCIAL GROUP INC,us,NYSE,,
AFGE,AFGE,AMERICAN FINANCIAL GROUP INC,us,NYSE,,
AGQ,AGQ,ProShares Trust II,us,NYSE,,
AIZN,AIZN,"ASSURANT, INC.",us,NYSE,,
AMJB,AMJB,JPMORGAN CHASE & CO,us,NYSE,,
AMUB,AMUB,UBS AG,us,NYSE,,
AOMD,AOMD,"Angel Oak Mortgage REIT, Inc.",us,NYSE,,
AOMN,AOMN,"Angel Oak Mortgage REIT, Inc.",us,NYSE,,
APOS,APOS,"Apollo Global Management, Inc.",us,NYSE,,
AQNB,AQNB,ALGONQUIN POWER & UTILITIES CORP.,us,NYSE,,
ARTC,ARTC,Art Technology Acquisition Corp.,us,NASDAQ,,
ASBA,ASBA,ASSOCIATED BANC-CORP,us,NYSE,,
ATHS,ATHS,Athene Holding Ltd.,us,NYSE,,
ATLCL,ATLCL,Atlanticus Holdings Corp,us,NASDAQ,,
ATLCZ,ATLCZ,Atlanticus Holdings Corp,us,NASDAQ,,
BAR,BAR,GraniteShares Gold Trust,us,NYSE,,
BAVA,BAVA,Bitwise Avalanche ETF,us,NYSE,,
BBCQW,BBCQW,Bleichroeder Acquisition Corp. II,us,NASDAQ,,
BCV-PA,BCV-PA,BANCROFT FUND LTD,us,NYSE,,
BDCX,BDCX,UBS AG,us,NYSE,,
BDCZ,BDCZ,UBS AG,us,NYSE,,
BDRY,BDRY,Amplify Commodity Trust,us,NYSE,,
BEPH,BEPH,Brookfield Renewable Partners L.P.,us,NYSE,,
BEPI,BEPI,Brookfield Renewable Partners L.P.,us,NYSE,,
BEPJ,BEPJ,Brookfield Renewable Partners L.P.,us,NYSE,,
BERZ,BERZ,BANK OF MONTREAL /CAN/,us,NYSE,,
BHFAL,BHFAL,"Brighthouse Financial, Inc.",us,NASDAQ,,
BIPH,BIPH,Brookfield Infrastructure Partners L.P.,us,NYSE,,
BIPI,BIPI,Brookfield Infrastructure Partners L.P.,us,NYSE,,
BIPJ,BIPJ,Brookfield Infrastructure Partners L.P.,us,NYSE,,
BITB,BITB,Bitwise Bitcoin ETF,us,NYSE,,
BITW,BITW,Bitwise 10 Crypto Index ETF,us,NYSE,,
BIXIW,BIXIW,Bitcoin Infrastructure Acquisition Corp Ltd,us,NASDAQ,,
BNH,BNH,BROOKFIELD Corp /ON/,us,NYSE,,
BNJ,BNJ,BROOKFIELD Corp /ON/,us,NYSE,,
BNKD,BNKD,BANK OF MONTREAL /CAN/,us,NYSE,,
BNKU,BNKU,BANK OF MONTREAL /CAN/,us,NYSE,,
BNO,BNO,"United States Brent Oil Fund, LP",us,NYSE,,
BOIL,BOIL,ProShares Trust II,us,NYSE,,
BRRR,BRRR,CoinShares Bitcoin ETF,us,NASDAQ,,
BSOL,BSOL,Bitwise Solana Staking ETF,us,NYSE,,
BTC,BTC,Grayscale Bitcoin Mini Trust ETF,us,NYSE,,
BULZ,BULZ,BANK OF MONTREAL /CAN/,us,NYSE,,
BWET,BWET,Amplify Commodity Trust,us,NYSE,,
BWNB,BWNB,"Babcock & Wilcox Enterprises, Inc.",us,NYSE,,
BWOW,BWOW,Bitwise Dogecoin ETF,us,NYSE,,
CANE,CANE,Teucrium Commodity Trust,us,NYSE,,
CAPNU,CAPNU,Cayson Acquisition Corp,us,NASDAQ,,
CARD,CARD,BANK OF MONTREAL /CAN/,us,NYSE,,
CARU,CARU,BANK OF MONTREAL /CAN/,us,NYSE,,
CCAQU,CCAQU,COLLECTIVE ACQUISITION CORP.,us,NASDAQ,,
CCRN,CCRN,CROSS COUNTRY HEALTHCARE INC,us,NASDAQ,,
CCZ,CCZ,COMCAST CORP,us,NYSE,,
CEFD,CEFD,UBS AG,us,NYSE,,
CGABL,CGABL,Carlyle Group Inc.,us,NASDAQ,,
CHARU,CHARU,Charlton Aria Acquisition Corp,us,NASDAQ,,
CHPGU,CHPGU,ChampionsGate Acquisition Corp,us,NASDAQ,,
CICB,CICB,CION Investment Corp,us,NYSE,,
CICC,CICC,CION Investment Corp,us,NYSE,,
CIMN,CIMN,CHIMERA INVESTMENT CORP,us,NYSE,,
CIMO,CIMO,CHIMERA INVESTMENT CORP,us,NYSE,,
CIMP,CIMP,CHIMERA INVESTMENT CORP,us,NYSE,,
CITR,CITR,CitroTech Inc.,us,NYSE,,
CLNK,CLNK,Bitwise Chainlink ETF,us,NYSE,,
CMIIU,CMIIU,Columbus Circle Capital Corp II,us,NASDAQ,,
CMSA,CMSA,CMS ENERGY CORP,us,NYSE,,
CMSC,CMSC,CMS ENERGY CORP,us,NYSE,,
CMSD,CMSD,CMS ENERGY CORP,us,NYSE,,
CORN,CORN,Teucrium Commodity Trust,us,NYSE,,
CPER,CPER,United States Commodity Index Funds Trust,us,NYSE,,
CRBD,CRBD,"Corebridge Financial, Inc.",us,NYSE,,
CTWO,CTWO,COTWO ADVISORS PHYSICAL EUROPEAN CARBON ALLOWANCE TRUST,us,NYSE,,
CUBB,CUBB,"Customers Bancorp, Inc.",us,NYSE,,
DBA,DBA,INVESCO DB AGRICULTURE FUND,us,NYSE,,
DBB,DBB,INVESCO DB BASE METALS FUND,us,NYSE,,
DBC,DBC,Invesco DB Commodity Index Tracking Fund,us,NYSE,,
DBE,DBE,Invesco DB Energy Fund,us,NYSE,,
DBO,DBO,Invesco DB Oil Fund,us,NYSE,,
DBP,DBP,Invesco DB Precious Metals Fund,us,NYSE,,
DCBG,DCBG,"Dime Commercial Bancshares, Inc. /NY/",us,NYSE,,
DEFI,DEFI,Hashdex Commodities Trust,us,NYSE,,
DGP,DGP,DEUTSCHE BANK AKTIENGESELLSCHAFT,us,NYSE,,
DGZ,DGZ,DEUTSCHE BANK AKTIENGESELLSCHAFT,us,NYSE,,
DHCNI,DHCNI,DIVERSIFIED HEALTHCARE TRUST,us,NASDAQ,,
DJP,DJP,BARCLAYS BANK PLC,us,NYSE,,
DPU,DPU,Top KingWin Ltd,us,NASDAQ,,
DTB,DTB,DTE ENERGY CO,us,NYSE,,
DTG,DTG,DTE ENERGY CO,us,NYSE,,
DTK,DTK,DTE ENERGY CO,us,NYSE,,
DTW,DTW,DTE ENERGY CO,us,NYSE,,
DUKB,DUKB,Duke Energy CORP,us,NYSE,,
DULL,DULL,BANK OF MONTREAL /CAN/,us,NYSE,,
DZZ,DZZ,DEUTSCHE BANK AKTIENGESELLSCHAFT,us,NYSE,,
EAI,EAI,"ENTERGY ARKANSAS, LLC",us,NYSE,,
ECCU,ECCU,Eagle Point Credit Co,us,NYSE,,
ECCV,ECCV,Eagle Point Credit Co,us,NYSE,,
ECF-PA,ECF-PA,ELLSWORTH GROWTH & INCOME FUND LTD,us,NYSE,,
EFTY,EFTY,"ETOILES CAPITAL GROUP CO., LTD",us,NASDAQ,,
ELC,ELC,"ENTERGY LOUISIANA, LLC",us,NYSE,,
ELLA,ELLA,Ellington Credit Co,us,NYSE,,
EMP,EMP,"ENTERGY MISSISSIPPI, LLC",us,NYSE,,
EMPG,EMPG,Empro Group Inc.,us,NASDAQ,,
ENJ,ENJ,"ENTERGY NEW ORLEANS, LLC",us,NYSE,,
ENO,ENO,"ENTERGY NEW ORLEANS, LLC",us,NYSE,,
ETH,ETH,Grayscale Ethereum Staking Mini ETF,us,NYSE,,
ETHA,ETHA,iShares Ethereum Trust ETF,us,NASDAQ,,
ETHB,ETHB,iShares Staked Ethereum Trust ETF,us,NASDAQ,,
ETHE,ETHE,Grayscale Ethereum Staking ETF,us,NYSE,,
ETHW,ETHW,Bitwise Ethereum ETF,us,NYSE,,
EUO,EUO,ProShares Trust II,us,NYSE,,
FACTU,FACTU,FACT II Acquisition Corp.,us,NASDAQ,,
FGDL,FGDL,Franklin Templeton Holdings Trust,us,NYSE,,
FGN,FGN,"F&G Annuities & Life, Inc.",us,NYSE,,
FGSN,FGSN,"F&G Annuities & Life, Inc.",us,NYSE,,
FLYD,FLYD,BANK OF MONTREAL /CAN/,us,NYSE,,
FLYU,FLYU,BANK OF MONTREAL /CAN/,us,NYSE,,
FNGD,FNGD,BANK OF MONTREAL /CAN/,us,NYSE,,
FNGO,FNGO,BANK OF MONTREAL /CAN/,us,NYSE,,
FNGS,FNGS,BANK OF MONTREAL /CAN/,us,NYSE,,
FNGU,FNGU,BANK OF MONTREAL /CAN/,us,NYSE,,
FSOL,FSOL,Fidelity Solana Fund,us,NYSE,,
FSSL,FSSL,FS Specialty Lending Fund,us,NYSE,,
FVNNR,FVNNR,Future Vision II Acquisition Corp.,us,NASDAQ,,
FXA,FXA,Invesco CurrencyShares Australian Dollar Trust,us,NYSE,,
FXB,FXB,Invesco CurrencyShares British Pound Sterling Trust,us,NYSE,,
FXC,FXC,Invesco CurrencyShares Canadian Dollar Trust,us,NYSE,,
FXE,FXE,Invesco CurrencyShares Euro Trust,us,NYSE,,
FXF,FXF,Invesco CurrencyShares Swiss Franc Trust,us,NYSE,,
FXY,FXY,Invesco CurrencyShares Japanese Yen Trust,us,NYSE,,
GAING,GAING,GLADSTONE INVESTMENT CORPORATION\DE,us,NASDAQ,,
GAINI,GAINI,GLADSTONE INVESTMENT CORPORATION\DE,us,NASDAQ,,
GAINZ,GAINZ,GLADSTONE INVESTMENT CORPORATION\DE,us,NASDAQ,,
GAVA,GAVA,Grayscale Avalanche Staking ETF,us,NASDAQ,,
GBTC,GBTC,Grayscale Bitcoin Trust ETF,us,NYSE,,
GBUG,GBUG,BARCLAYS BANK PLC,us,NASDAQ,,
GDLC,GDLC,Grayscale CoinDesk Crypto 5 ETF,us,NYSE,,
GDOG,GDOG,Grayscale Dogecoin Trust ETF,us,NYSE,,
GDXD,GDXD,BANK OF MONTREAL /CAN/,us,NYSE,,
GDXU,GDXU,BANK OF MONTREAL /CAN/,us,NYSE,,
GECCG,GECCG,Great Elm Capital Corp.,us,NASDAQ,,
GECCH,GECCH,Great Elm Capital Corp.,us,NASDAQ,,
GECCI,GECCI,Great Elm Capital Corp.,us,NASDAQ,,
GEGGL,GEGGL,"Great Elm Group, Inc.",us,NASDAQ,,
GENVR,GENVR,Gen Digital Inc.,us,NASDAQ,,
GGN-PB,GGN-PB,"GAMCO Global Gold, Natural Resources & Income Trust",us,NYSE,,
GJH,GJH,STRATS SM TRUST FOR U S CELL CORP SEC SERIES 2004 6,us,NYSE,,
GJO,GJO,"STRATS SM TRUST FOR WAL-MART STORES, INC. SECURITIES, SERIES 2005-4",us,NYSE,,
GJP,GJP,"STRATS(SM) TRUST FOR DOMINION RESOURCES, INC. SECURITIES, SERIES 2005-6",us,NYSE,,
GJR,GJR,"STRATS(SM) Trust for Procter & Gamble Securities, Series 2006-1",us,NYSE,,
GJS,GJS,"STRATS(SM) Trust for Goldman Sachs Group Securities, Series 2006-2",us,NYSE,,
GJT,GJT,"STRATS(SM) Trust for Allstate Corp Securities, Series 2006-3",us,NYSE,,
GLDI,GLDI,CREDIT SUISSE AG,us,NASDAQ,,
GLDM,GLDM,World Gold Trust,us,NYSE,,
GLL,GLL,ProShares Trust II,us,NYSE,,
GLNK,GLNK,Grayscale Chainlink Trust ETF,us,NYSE,,
GLTR,GLTR,abrdn Precious Metals Basket ETF Trust,us,NYSE,,
GLU-PB,GLU-PB,GABELLI GLOBAL UTILITY & INCOME TRUST,us,NYSE,,
GPJA,GPJA,GEORGIA POWER CO,us,NYSE,,
GPUS-PD,GPUS-PD,"Hyperscale Data, Inc.",us,NYSE,,
GRAF,GRAF,Graf Global Corp.,us,NYSE,,
GREEL,GREEL,Vulcan Infrastructure & Power Inc.,us,NASDAQ,,
GRN,GRN,BARCLAYS BANK PLC,us,NYSE,,
GSG,GSG,iShares S&P GSCI Commodity-Indexed Trust,us,NYSE,,
GSHRU,GSHRU,Gesher Acquisition Corp. II,us,NASDAQ,,
GSOL,GSOL,Grayscale Solana Staking ETF,us,NYSE,,
GSRFR,GSRFR,GSR IV Acquisition Corp.,us,NASDAQ,,
GSUI,GSUI,Grayscale Sui Staking ETF,us,NYSE,,
GXRP,GXRP,Grayscale XRP Trust ETF,us,NYSE,,
HCHL,HCHL,Happy City Holdings Ltd,us,NASDAQ,,
HCXY,HCXY,"Hercules Capital, Inc.",us,NYSE,,
HDLB,HDLB,UBS AG,us,NYSE,,
HQWWW,HQWWW,Horizon Quantum Holdings Ltd.,us,NASDAQ,,
HTFC,HTFC,Horizon Technology Finance Corp,us,NYSE,,
HWCPZ,HWCPZ,HANCOCK WHITNEY CORP,us,NASDAQ,,
IAU,IAU,ISHARES GOLD TRUST,us,NYSE,,
IAUM,IAUM,iShares Gold Trust Micro,us,NYSE,,
IBIT,IBIT,iShares Bitcoin Trust ETF,us,NASDAQ,,
IFED,IFED,UBS AG,us,NYSE,,
IGACR,IGACR,Invest Green Acquisition Corp,us,NASDAQ,,
INBKZ,INBKZ,First Internet Bancorp,us,NASDAQ,,
IPB,IPB,MERRILL LYNCH DEPOSITOR INC INDEXPLUS TRUST SERIES 2003-1,us,NYSE,,
IWDL,IWDL,UBS AG,us,NYSE,,
IWFL,IWFL,UBS AG,us,NYSE,,
IWML,IWML,UBS AG,us,NYSE,,
JBK,JBK,LEHMAN ABS CORP GOLDMAN SACHS CAP 1 SEC BACKED SER 2004-6,us,NYSE,,
JETD,JETD,BANK OF MONTREAL /CAN/,us,NYSE,,
JETU,JETU,BANK OF MONTREAL /CAN/,us,NYSE,,
JSM,JSM,NAVIENT CORP,us,NASDAQ,,
KKRS,KKRS,KKR & Co. Inc.,us,NYSE,,
KKRT,KKRT,KKR & Co. Inc.,us,NYSE,,
KMPB,KMPB,KEMPER Corp,us,NYSE,,
KOLD,KOLD,ProShares Trust II,us,NYSE,,
KTN,KTN,STRUCTURED PRODUCTS CORP CRED ENHANCE CORTS TR FOR AON CAP A,us,NYSE,,
LAFAR,LAFAR,LaFayette Acquisition Corp.,us,NASDAQ,,
LAWR,LAWR,"Robot Consulting Co., Ltd.",us,NASDAQ,,
LEGO-UN,LEGO-UN,Legato Merger Corp. IV,us,NYSE,,
LKSPU,LKSPU,Lake Superior Acquisition Corp,us,NASDAQ,,
MAGH,MAGH,Magnitude International Ltd,us,NASDAQ,,
MAMK,MAMK,MaxsMaking Inc.,us,NASDAQ,,
MCTA,MCTA,Charming Medical Ltd,us,NASDAQ,,
MDY,MDY,SPDR S&P MIDCAP 400 ETF TRUST,us,NYSE,,
METCI,METCI,"Ramaco Resources, Inc.",us,NASDAQ,,
METCZ,METCZ,"Ramaco Resources, Inc.",us,NASDAQ,,
MFAN,MFAN,"MFA FINANCIAL, INC.",us,NYSE,,
MFAO,MFAO,"MFA FINANCIAL, INC.",us,NYSE,,
MGR,MGR,"AFFILIATED MANAGERS GROUP, INC.",us,NYSE,,
MGRB,MGRB,"AFFILIATED MANAGERS GROUP, INC.",us,NYSE,,
MGRD,MGRD,"AFFILIATED MANAGERS GROUP, INC.",us,NYSE,,
MGRE,MGRE,"AFFILIATED MANAGERS GROUP, INC.",us,NYSE,,
MHLA,MHLA,"Maiden Holdings, Ltd.",us,NYSE,,
MHNC,MHNC,"Maiden Holdings, Ltd.",us,NYSE,,
MITN,MITN,"TPG Mortgage Investment Trust, Inc.",us,NYSE,,
MITP,MITP,"TPG Mortgage Investment Trust, Inc.",us,NYSE,,
MLAA,MLAA,Mountain Lake Acquisition Corp. II,us,NASDAQ,,
MLCIL,MLCIL,Mount Logan Capital Inc.,us,NASDAQ,,
MLPB,MLPB,UBS AG,us,NYSE,,
MLPR,MLPR,UBS AG,us,NYSE,,
MMTXU,MMTXU,Miluna Acquisition Corp,us,NASDAQ,,
MSBT,MSBT,Morgan Stanley Bitcoin Trust,us,NYSE,,
MTUL,MTUL,UBS AG,us,NYSE,,
MVRL,MVRL,UBS AG,us,NYSE,,
NCIQ,NCIQ,Hashdex Nasdaq CME Crypto Index ETF,us,NASDAQ,,
NCL,NCL,Northann Corp.,us,NYSE,,
NEWTG,NEWTG,"NewtekOne, Inc.",us,NASDAQ,,
NEWTH,NEWTH,"NewtekOne, Inc.",us,NASDAQ,,
NEWTI,NEWTI,"NewtekOne, Inc.",us,NASDAQ,,
NEWTO,NEWTO,"NewtekOne, Inc.",us,NASDAQ,,
NMFCZ,NMFCZ,New Mountain Finance Corp,us,NASDAQ,,
NRGD,NRGD,BANK OF MONTREAL /CAN/,us,NYSE,,
NRGU,NRGU,BANK OF MONTREAL /CAN/,us,NYSE,,
NRUC,NRUC,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/,us,NYSE,,
NSLRL,NSLRL,Neostellar Capital Corp.,us,NASDAQ,,
NTWOU,NTWOU,Newbury Street II Acquisition Corp,us,NASDAQ,,
NUTR,NUTR,NUSATRIP Inc,us,NASDAQ,,
OBTC,OBTC,Osprey Bitcoin Trust,us,NASDAQ,,
OFSSH,OFSSH,OFS Capital Corp,us,NASDAQ,,
OFSSO,OFSSO,OFS Capital Corp,us,NASDAQ,,
OILD,OILD,BANK OF MONTREAL /CAN/,us,NYSE,,
OILU,OILU,BANK OF MONTREAL /CAN/,us,NYSE,,
OPP-PC,OPP-PC,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",us,NYSE,,
ORIQU,ORIQU,Origin Investment Corp I,us,NASDAQ,,
OST,OST,"Ostin Technology Group Co., Ltd.",us,NASDAQ,,
OUNZ,OUNZ,VanEck Merk Gold ETF,us,NYSE,,
OXLCG,OXLCG,Oxford Lane Capital Corp.,us,NASDAQ,,
OXLCI,OXLCI,Oxford Lane Capital Corp.,us,NASDAQ,,
OXLCL,OXLCL,Oxford Lane Capital Corp.,us,NASDAQ,,
OXLCZ,OXLCZ,Oxford Lane Capital Corp.,us,NASDAQ,,
OXSQG,OXSQG,Oxford Square Capital Corp.,us,NASDAQ,,
OXSQH,OXSQH,Oxford Square Capital Corp.,us,NASDAQ,,
OYSER,OYSER,Oyster Enterprises II Acquisition Corp,us,NASDAQ,,
PALL,PALL,abrdn Palladium ETF Trust,us,NYSE,,
PBI-PB,PBI-PB,PITNEY BOWES INC /DE/,us,NYSE,,
PC,PC,Premium Catering (Holdings) Ltd,us,NASDAQ,,
PCG-PA,PCG-PA,PG&E Corp,us,NYSE,,
PCG-PB,PCG-PB,PG&E Corp,us,NYSE,,
PCG-PD,PCG-PD,PG&E Corp,us,NYSE,,
PCG-PE,PCG-PE,PG&E Corp,us,NYSE,,
PCG-PG,PCG-PG,PG&E Corp,us,NYSE,,
PCG-PH,PCG-PH,PG&E Corp,us,NYSE,,
PCTTU,PCTTU,"PureCycle Technologies, Inc.",us,NASDAQ,,
PFFL,PFFL,UBS AG,us,NYSE,,
PFH,PFH,PRUDENTIAL FINANCIAL INC,us,NYSE,,
PFXNZ,PFXNZ,PhenixFIN Corp,us,NASDAQ,,
PHXE-P,PHXE-P,"Phoenix Energy One, LLC",us,NYSE,,
PLTM,PLTM,GraniteShares Platinum Trust,us,NYSE,,
PLTS,PLTS,Platinum Analytics Cayman Ltd,us,NASDAQ,,
PMTU,PMTU,PennyMac Mortgage Investment Trust,us,NYSE,,
PMTV,PMTV,PennyMac Mortgage Investment Trust,us,NYSE,,
PMTW,PMTW,PennyMac Mortgage Investment Trust,us,NYSE,,
PPLT,PPLT,abrdn Platinum ETF Trust,us,NYSE,,
PRH,PRH,PRUDENTIAL FINANCIAL INC,us,NYSE,,
PRHIZ,PRHIZ,"Presurance Holdings, Inc.",us,NASDAQ,,
PRS,PRS,PRUDENTIAL FINANCIAL INC,us,NYSE,,
PYT,PYT,PPLUS Trust Series GSC-2,us,NYSE,,
QMMM,QMMM,QMMM Holdings Ltd,us,NASDAQ,,
QSEAU,QSEAU,Quartzsea Acquisition Corp,us,NASDAQ,,
QULL,QULL,UBS AG,us,NYSE,,
RAC-UN,RAC-UN,Rithm Acquisition Corp.,us,NYSE,,
RCD,RCD,Ready Capital Corp,us,NYSE,,
RDACU,RDACU,Rising Dragon Acquisition Corp.,us,NASDAQ,,
RILYG,RILYG,"BRC Group Holdings, Inc.",us,NASDAQ,,
RILYN,RILYN,"BRC Group Holdings, Inc.",us,NASDAQ,,
RILYT,RILYT,"BRC Group Holdings, Inc.",us,NASDAQ,,
RILYZ,RILYZ,"BRC Group Holdings, Inc.",us,NASDAQ,,
RWAYI,RWAYI,Runway Growth Finance Corp.,us,NASDAQ,,
RWAYL,RWAYL,Runway Growth Finance Corp.,us,NASDAQ,,
RWTN,RWTN,REDWOOD TRUST INC,us,NYSE,,
RWTO,RWTO,REDWOOD TRUST INC,us,NYSE,,
RWTP,RWTP,REDWOOD TRUST INC,us,NYSE,,
RWTQ,RWTQ,REDWOOD TRUST INC,us,NYSE,,
RZC,RZC,REINSURANCE GROUP OF AMERICA INC,us,NYSE,,
SACH-PA,SACH-PA,Sachem Capital Corp.,us,NYSE,,
SAJ,SAJ,SARATOGA INVESTMENT CORP.,us,NYSE,,
SAT,SAT,SARATOGA INVESTMENT CORP.,us,NYSE,,
