provider_symbol,symbol,name,region,market_code,sector,industry
COOLCAPS.NS,COOLCAPS,Cool Caps Industries Limited,india,NSE,,
CPS.NS,CPS,CPS Shapers Limited,india,NSE,,
CRAYONS.NS,CRAYONS,Crayons Advertising Limited,india,NSE,,
DAICHI.NS,DAICHI,Dai-ichi Karkaria Limited,india,NSE,,
DCG.NS,DCG,DCG Cables & Wires Limited,india,NSE,,
DECNGOLD.NS,DECNGOLD,Deccan Gold Mines Limited,india,NSE,,
DEEM.NS,DEEM,Deem Roll-Tech Limited,india,NSE,,
DELAPLEX.NS,DELAPLEX,Delaplex Limited,india,NSE,,
DENEERS.NS,DENEERS,De Neers Tools Limited,india,NSE,,
DENTALKART.NS,DENTALKART,Vasa Denticity Limited,india,NSE,,
DESTINY.NS,DESTINY,Destiny Logistics & Infra Limited,india,NSE,,
DHANLAXMI.NS,DHANLAXMI,Dhanlaxmi Crop Science Limited,india,NSE,,
DHTL.NS,DHTL,DocMode Health Technologies Limited,india,NSE,,
DIGIKORE.NS,DIGIKORE,Digikore Studios Limited,india,NSE,,
DISAQ.NS,DISAQ,Disa India Limited,india,NSE,,
DKEGL.NS,DKEGL,D.K. Enterprises Global Limited,india,NSE,,
DOLLEX.NS,DOLLEX,Dollex Agrotech Limited,india,NSE,,
DPEL.NS,DPEL,Divine Power Energy Limited,india,NSE,,
DRAGARWQ.NS,DRAGARWQ,Dr Agarwals Eye Hospital Limited,india,NSE,,
DRONE.NS,DRONE,Drone Destination Limited,india,NSE,,
DRSDILIP.NS,DRSDILIP,DRS Dilip Roadlines Limited,india,NSE,,
DTL.NS,DTL,Diensten Tech Limited,india,NSE,,
DUCOL.NS,DUCOL,Ducol Organics And Colours Limited,india,NSE,,
DUGLOBAL.NS,DUGLOBAL,DUDigital Global Limited,india,NSE,,
DURLAX.NS,DURLAX,Durlax Top Surface Limited,india,NSE,,
DYNAMIC.NS,DYNAMIC,Dynamic Services & Security Limited,india,NSE,,
EFACTOR.NS,EFACTOR,E Factor Experiences Limited,india,NSE,,
EFFWA.NS,EFFWA,Effwa Infra & Research Limited,india,NSE,,
EFORCE.NS,EFORCE,Electro Force (India) Limited,india,NSE,,
ELCIDIN.NS,ELCIDIN,EL CID Investments Limited,india,NSE,,
ELITECON.NS,ELITECON,Elitecon International Limited,india,NSE,,
